from date,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
17-Apr-2020 - 00:00,27.53,0.57,21.65,2.38,24.03,7.34,69.82,0.3,90.83,67.65,753.85,176.06,-1.88,0.0,32.58,,,,18-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Apr-2020 - 00:00,27.68,0.65,18.93,2.38,24.1,7.39,65.59,0.3,106.4,69.24,753.82,170.84,-1.89,0.0,31.14,,,,19-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Apr-2020 - 00:00,27.3,0.85,17.63,2.41,24.09,7.4,52.79,0.3,104.89,76.17,754.01,115.03,-1.87,0.0,51.62,,,,20-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Apr-2020 - 00:00,27.76,0.61,17.3,2.27,24.1,7.31,61.83,0.3,127.66,68.61,754.19,163.18,-1.87,0.0,33.89,,,,21-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Apr-2020 - 00:00,23.63,0.55,13.42,2.39,24.21,7.41,61.35,0.3,111.01,75.17,754.61,104.24,-1.84,0.0,14.97,,,,22-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Apr-2020 - 00:00,25.54,0.61,16.36,2.32,24.07,7.13,65.99,0.3,117.95,66.45,754.21,198.71,-1.89,0.0,20.06,,,,23-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Apr-2020 - 00:00,26.07,0.73,20.57,2.14,23.93,7.19,67.73,0.3,90.38,70.96,754.18,185.78,-1.89,0.0,34.97,,,,24-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Apr-2020 - 00:00,25.18,0.78,16.34,2.24,24.2,7.28,57.52,0.3,87.23,78.89,754.55,154.72,-1.9,0.0,28.95,,,,25-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Apr-2020 - 00:00,25.66,0.44,14.92,2.13,23.99,7.13,59.78,0.3,82.07,75.21,754.0,157.16,-1.91,0.0,22.44,,,,26-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Apr-2020 - 00:00,23.32,0.6,14.65,2.14,23.84,7.08,55.56,0.3,93.36,82.09,754.65,55.0,-1.91,0.0,16.98,,,,27-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Apr-2020 - 00:00,25.88,0.64,15.07,2.21,24.36,7.3,56.07,0.3,82.25,74.89,754.26,144.16,-1.89,0.0,28.66,,,,28-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Apr-2020 - 00:00,25.62,0.55,14.63,2.19,24.3,7.25,59.69,0.3,97.48,73.36,754.06,182.26,-1.91,0.0,17.81,,,,29-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Apr-2020 - 00:00,26.83,0.64,18.52,2.42,24.15,7.4,65.55,0.3,97.46,67.79,754.19,202.01,-1.89,0.0,26.68,,,,30-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Apr-2020 - 00:00,27.99,0.71,19.34,2.43,24.15,7.44,63.92,0.3,91.97,67.98,753.9,170.01,-1.88,0.0,37.0,,,,01-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-May-2020 - 00:00,24.47,0.54,19.45,2.26,24.16,7.31,55.05,0.3,131.28,81.67,754.59,69.93,-1.87,0.0,28.93,,,,02-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-May-2020 - 00:00,25.09,0.62,16.41,2.2,24.05,7.25,55.35,0.3,153.08,78.16,754.25,118.25,-1.9,0.0,24.89,,,,03-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-May-2020 - 00:00,27.61,0.59,20.69,2.19,24.25,7.29,66.56,0.3,99.44,67.77,754.01,214.9,-1.88,0.0,31.14,,,,04-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-May-2020 - 00:00,27.77,0.61,15.96,2.41,23.85,7.31,61.72,0.3,84.7,69.36,754.0,160.23,-1.89,0.0,32.14,,,,05-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-May-2020 - 00:00,25.33,0.56,15.17,2.33,24.14,7.33,50.85,0.3,117.94,78.79,755.06,131.2,-1.87,0.0,16.08,,,,06-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-May-2020 - 00:00,26.54,0.54,12.46,2.24,24.17,7.24,45.35,0.3,180.75,73.66,754.84,211.75,-1.89,0.0,20.11,,,,07-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-May-2020 - 00:00,25.18,0.6,18.89,2.29,23.98,7.28,51.04,0.56,,75.74,754.47,160.7,-1.64,0.0,27.47,,,,08-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-May-2020 - 00:00,26.15,0.66,16.35,2.24,24.32,7.34,54.47,1.09,,71.42,754.12,233.26,-1.26,0.0,35.16,,,,09-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-May-2020 - 00:00,27.99,0.4,16.23,2.4,24.17,7.43,65.15,1.87,,68.08,753.93,205.39,-1.02,0.0,47.01,,,,10-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-May-2020 - 00:00,29.03,0.75,22.11,2.3,24.11,7.32,66.09,1.89,,68.2,753.88,172.91,-0.91,0.0,46.75,,,,11-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-May-2020 - 00:00,26.86,0.95,15.22,2.44,24.12,7.32,53.84,1.2,,76.03,754.33,140.81,-1.15,0.0,34.4,,,,12-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-May-2020 - 00:00,28.6,0.76,20.94,2.26,23.97,7.24,62.22,0.58,,67.24,753.94,160.08,-1.5,0.0,46.03,,,,13-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-May-2020 - 00:00,30.22,0.88,20.56,2.47,23.92,7.38,74.43,0.65,,64.24,753.7,202.72,-1.42,0.0,56.3,,,,14-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-May-2020 - 00:00,29.32,0.9,15.95,2.72,23.74,7.51,79.96,2.13,,70.84,753.95,174.38,-1.21,0.0,58.34,,,,15-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-May-2020 - 00:00,29.06,0.82,13.26,2.4,24.15,7.38,73.92,1.99,,71.03,753.81,168.02,-0.99,0.0,36.22,,,,16-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-May-2020 - 00:00,30.49,0.71,18.03,2.38,24.24,7.41,77.54,1.38,,68.44,753.74,204.26,-1.17,0.0,51.9,,,,17-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-May-2020 - 00:00,30.62,0.83,20.28,2.37,24.05,7.3,93.6,1.67,,63.67,753.74,224.3,-0.92,0.0,40.36,,,,18-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-May-2020 - 00:00,30.4,0.67,19.45,2.56,24.06,7.46,56.83,2.46,,67.34,753.77,205.85,-0.98,0.0,40.85,,,,19-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-May-2020 - 00:00,29.78,0.74,14.96,2.32,23.91,7.28,55.51,3.11,,67.02,753.83,195.61,-1.02,0.0,29.99,,,,20-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-May-2020 - 00:00,28.57,0.64,16.8,2.43,23.83,7.35,41.97,2.75,,71.6,754.0,102.3,-0.97,0.0,36.45,,,,21-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-May-2020 - 00:00,27.48,0.62,19.52,2.08,23.96,7.15,32.2,1.88,,75.25,754.35,132.48,-0.91,0.0,20.98,,,,22-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-May-2020 - 00:00,28.34,0.37,15.9,2.0,24.2,7.11,36.08,2.69,,71.94,753.98,192.77,-1.01,0.0,9.86,,,,23-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-May-2020 - 00:00,28.58,0.58,14.1,2.36,24.07,7.37,46.92,2.85,,74.68,753.95,171.41,-1.04,0.0,26.98,,,,24-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-May-2020 - 00:00,30.64,0.78,14.06,2.39,24.24,7.44,51.03,1.61,,70.61,753.73,174.48,-1.0,0.0,24.43,,,,25-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-May-2020 - 00:00,30.81,0.95,14.72,2.45,24.18,7.44,51.6,2.75,,68.07,753.75,202.92,-0.99,0.0,23.76,,,,26-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-May-2020 - 00:00,31.06,0.67,13.91,2.43,23.93,7.31,56.6,2.49,,68.02,753.74,201.85,-1.03,0.0,25.42,,,,27-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-May-2020 - 00:00,28.14,0.87,15.68,2.23,24.04,7.28,53.67,4.97,,68.06,754.0,201.23,-1.04,0.0,19.61,,,,28-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-May-2020 - 00:00,26.19,0.65,11.78,2.41,24.05,7.35,57.32,4.15,,75.46,754.33,181.47,-1.0,0.0,10.86,,,,29-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-May-2020 - 00:00,28.2,0.9,10.25,2.42,23.86,7.33,51.75,3.01,,71.89,753.93,179.72,-1.01,0.0,16.7,,,,30-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-May-2020 - 00:00,28.81,0.58,14.5,2.34,24.15,7.23,52.53,3.25,,69.11,753.88,190.57,-0.97,0.0,14.91,,,,31-May-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-May-2020 - 00:00,28.28,0.53,14.19,2.32,24.01,7.33,54.1,2.07,,72.42,754.6,194.79,-1.0,0.0,15.75,,,,01-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jun-2020 - 00:00,27.76,0.7,13.41,2.41,24.06,7.35,53.32,1.49,,76.34,754.06,155.93,-1.15,0.0,24.1,,,,02-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jun-2020 - 00:00,25.92,0.65,14.22,2.84,24.26,7.68,64.07,0.89,325.0,63.19,752.86,165.18,-1.11,0.0,40.49,,,,03-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jun-2020 - 00:00,29.77,0.77,15.05,2.32,24.12,7.35,59.75,0.57,325.0,67.51,753.54,106.31,-0.99,0.0,55.5,,,,04-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jun-2020 - 00:00,27.91,0.9,11.36,2.55,24.0,7.46,61.66,0.8,325.02,76.21,754.08,71.26,-0.51,0.0,45.79,,,,05-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jun-2020 - 00:00,25.55,0.86,13.87,2.46,24.0,7.39,59.77,3.04,325.29,85.84,754.83,62.71,-0.94,0.0,15.07,,,,06-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jun-2020 - 00:00,27.03,0.49,13.37,2.0,24.12,7.14,61.89,0.75,325.5,81.83,754.65,125.16,-0.67,0.0,8.88,,,,07-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jun-2020 - 00:00,28.64,0.67,13.53,2.37,24.18,7.38,56.74,0.78,325.23,75.42,753.6,184.12,-0.48,0.0,22.24,,,,08-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jun-2020 - 00:00,30.06,0.72,12.81,2.44,24.1,7.44,60.26,0.45,325.38,71.29,753.53,178.15,-0.53,0.0,36.64,,,,09-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jun-2020 - 00:00,30.65,0.76,9.99,2.49,24.01,7.42,61.97,1.07,325.9,70.49,753.73,183.66,-0.68,0.0,33.82,,,,10-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jun-2020 - 00:00,31.63,0.87,13.65,2.87,24.11,7.63,63.73,1.56,325.88,67.8,753.66,180.45,-0.94,0.0,29.73,,,,11-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jun-2020 - 00:00,31.17,0.6,12.56,2.36,24.07,7.37,67.96,2.34,326.0,67.86,753.73,198.85,-1.01,0.0,12.1,,,,12-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jun-2020 - 00:00,30.52,0.74,12.01,2.06,24.16,7.19,61.62,2.85,326.19,70.24,753.83,187.92,-1.04,0.0,14.89,,,,13-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jun-2020 - 00:00,29.43,1.02,11.99,2.16,24.25,7.21,65.23,3.55,326.28,73.6,753.91,170.45,-1.07,0.0,10.78,,,,14-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jun-2020 - 00:00,29.28,0.43,9.59,2.19,24.24,7.25,60.15,3.13,326.0,76.09,753.93,171.32,-1.04,0.0,8.96,,,,15-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jun-2020 - 00:00,28.06,0.76,11.7,2.37,23.94,7.34,60.7,2.43,325.99,82.28,754.55,108.83,-0.94,0.0,8.51,,,,16-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jun-2020 - 00:00,28.12,0.53,9.62,2.26,24.35,7.27,68.85,2.23,326.26,83.47,757.23,112.68,-1.03,0.0,11.54,,,,17-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jun-2020 - 00:00,28.35,0.79,10.27,2.85,24.01,7.65,60.35,2.17,326.15,82.07,754.79,129.36,-1.02,0.0,13.73,,,,18-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jun-2020 - 00:00,28.13,0.63,12.91,2.77,23.59,7.41,61.48,2.38,326.15,83.0,754.82,127.42,-0.99,0.0,16.59,,,,19-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jun-2020 - 00:00,26.93,0.8,13.56,2.37,23.88,7.32,62.61,2.61,326.16,89.25,755.12,48.91,-0.92,0.0,16.09,,,,20-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jun-2020 - 00:00,27.49,0.89,13.7,2.32,23.91,7.31,57.29,2.03,326.47,87.35,754.86,68.3,-1.03,0.0,17.34,,,,21-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jun-2020 - 00:00,28.46,0.49,10.07,2.15,24.54,7.32,63.1,2.31,326.29,81.39,754.16,154.4,-1.0,0.0,13.18,,,,22-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jun-2020 - 00:00,27.61,0.87,11.21,2.44,23.84,7.37,60.23,2.29,326.31,85.84,754.86,107.47,-1.0,0.0,14.56,,,,23-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jun-2020 - 00:00,27.74,0.59,11.9,2.45,23.86,7.36,60.17,2.42,326.27,85.3,754.21,83.7,-1.04,0.0,15.89,,,,24-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jun-2020 - 00:00,29.53,0.77,12.79,2.41,24.64,7.56,59.66,0.85,326.1,78.98,753.91,141.19,-1.17,0.0,28.94,,,,25-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jun-2020 - 00:00,26.27,0.85,10.28,2.31,24.26,7.36,69.78,0.68,326.16,92.93,755.7,24.0,-0.84,0.0,17.59,,,,26-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jun-2020 - 00:00,27.6,0.63,8.87,2.29,23.86,7.26,72.33,0.82,326.28,87.35,754.55,88.23,-0.8,0.0,15.96,,,,27-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jun-2020 - 00:00,28.56,0.8,10.98,2.24,24.15,7.32,65.34,0.81,326.36,79.8,753.89,139.88,-0.71,0.0,15.74,,,,28-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jun-2020 - 00:00,26.73,0.46,9.78,1.97,24.01,7.04,62.83,0.69,326.92,88.25,754.73,47.25,-1.13,0.01,11.67,,,,29-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jun-2020 - 00:00,27.04,0.72,13.49,2.15,24.16,7.25,62.01,1.01,326.61,87.97,754.59,62.44,-0.9,0.0,19.52,,,,30-Jun-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jun-2020 - 00:00,28.18,0.64,11.85,2.42,24.12,7.41,55.11,0.82,326.66,84.47,754.33,122.29,-1.11,0.01,33.05,,,,01-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jul-2020 - 00:00,29.97,0.74,11.41,2.49,23.9,7.39,64.83,0.42,326.2,79.3,753.84,144.68,-0.95,0.03,40.86,,,,02-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jul-2020 - 00:00,28.56,0.71,11.17,2.55,23.77,7.34,61.1,0.84,326.56,84.19,754.0,64.25,-0.78,0.02,39.34,,,,03-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jul-2020 - 00:00,28.5,0.95,11.39,2.39,24.1,7.39,62.38,1.7,326.54,82.04,754.0,92.1,-1.01,0.01,27.83,,,,04-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jul-2020 - 00:00,27.04,0.66,10.52,2.45,24.22,7.41,57.79,1.72,326.49,88.94,754.9,43.15,-1.03,0.01,11.99,,,,05-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jul-2020 - 00:00,29.08,0.55,13.21,2.55,23.87,7.34,63.25,1.23,326.25,81.62,754.29,185.98,-1.0,0.0,14.76,,,,06-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jul-2020 - 00:00,28.61,0.87,9.99,2.45,24.08,7.43,63.9,2.4,326.33,82.02,754.62,152.4,-1.04,0.0,11.04,,,,07-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jul-2020 - 00:00,28.5,0.81,11.22,2.45,24.36,7.48,55.99,2.4,326.26,82.78,754.15,104.21,-0.97,0.0,10.93,,,,08-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jul-2020 - 00:00,29.78,0.7,11.81,2.68,24.12,7.59,54.69,0.65,326.0,78.59,753.98,132.23,-0.81,0.01,19.06,,,,09-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jul-2020 - 00:00,27.39,0.72,10.1,2.69,24.14,7.6,62.62,0.92,326.08,88.54,754.6,65.23,-0.86,0.0,12.64,,,,10-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jul-2020 - 00:00,26.56,0.66,10.17,2.43,24.0,7.42,70.06,0.55,326.27,91.41,755.14,46.34,-0.66,0.0,9.17,,,,11-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jul-2020 - 00:00,28.12,0.6,11.42,2.71,24.18,7.63,61.46,0.63,326.0,85.38,754.0,62.27,-0.27,0.0,14.7,,,,12-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jul-2020 - 00:00,27.49,0.45,11.06,2.53,24.18,7.52,62.16,0.66,326.2,87.6,755.12,99.78,-0.69,0.01,12.33,,,,13-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jul-2020 - 00:00,26.83,0.76,12.4,2.34,24.26,7.41,60.01,0.77,326.47,89.54,754.84,67.66,-1.13,0.0,8.78,,,,14-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jul-2020 - 00:00,28.71,0.73,9.08,2.46,24.06,7.43,54.99,1.09,326.25,82.62,754.0,114.67,-0.93,0.0,20.64,,,,15-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jul-2020 - 00:00,29.05,0.67,13.71,2.33,24.12,7.36,51.18,1.5,326.21,80.45,754.02,142.5,-1.03,0.01,18.47,,,,16-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jul-2020 - 00:00,30.11,0.54,12.29,2.69,24.11,7.56,49.02,1.59,326.08,75.37,753.94,198.45,-0.99,0.0,15.77,,,,17-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jul-2020 - 00:00,30.31,0.41,10.61,2.55,23.75,7.41,53.82,1.38,326.12,74.47,753.96,189.89,-1.0,0.0,18.81,,,,18-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jul-2020 - 00:00,29.43,0.48,10.56,2.59,24.45,7.62,53.4,1.31,326.21,81.0,754.0,111.04,-0.98,0.0,22.28,,,,19-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jul-2020 - 00:00,27.03,0.52,10.93,2.54,24.11,7.5,54.08,0.65,326.47,90.51,755.26,18.35,-0.89,0.0,16.01,,,,20-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jul-2020 - 00:00,26.04,0.75,9.03,2.51,23.99,7.44,63.03,0.89,326.57,93.79,755.95,28.77,-0.84,0.0,10.57,,,,21-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jul-2020 - 00:00,26.24,0.64,10.1,2.25,24.22,7.32,61.53,0.43,326.95,92.58,756.04,44.97,-1.24,0.01,7.94,,,,22-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jul-2020 - 00:00,28.28,0.54,11.24,2.46,24.23,7.43,66.03,0.53,326.59,85.31,754.75,156.01,-1.15,0.0,14.14,,,,23-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jul-2020 - 00:00,26.69,0.66,11.39,2.61,24.17,7.4,57.7,0.42,326.55,90.38,755.74,72.78,-1.09,0.01,11.05,,,,24-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jul-2020 - 00:00,27.1,0.64,11.64,2.54,24.13,7.51,60.99,1.11,326.72,88.78,755.07,87.01,-0.99,0.0,15.3,,,,25-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jul-2020 - 00:00,28.62,0.43,11.2,2.47,24.33,7.51,57.16,0.58,326.47,82.83,753.98,138.59,-0.85,0.0,22.39,,,,26-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jul-2020 - 00:00,29.79,0.45,10.75,2.59,24.08,7.53,50.0,0.37,326.19,80.21,753.99,154.27,-0.85,0.0,30.18,,,,27-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jul-2020 - 00:00,29.44,0.74,11.03,2.65,24.29,7.63,55.98,0.49,326.21,81.18,754.0,103.58,-1.29,0.01,27.74,,,,28-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jul-2020 - 00:00,27.24,0.8,10.92,2.53,24.18,7.51,55.17,0.66,326.36,88.58,755.3,42.69,-0.49,0.0,13.03,,,,29-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jul-2020 - 00:00,28.33,0.71,11.3,2.46,24.44,7.49,61.88,0.46,326.29,84.21,754.44,140.75,-0.41,0.0,18.24,,,,30-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jul-2020 - 00:00,27.49,0.65,12.17,2.61,24.31,7.6,52.13,0.36,326.47,89.73,754.76,48.97,-1.09,0.0,22.07,,,,31-Jul-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Jul-2020 - 00:00,27.67,0.75,9.57,2.6,24.36,7.61,51.89,0.45,326.54,88.86,754.81,77.39,-0.86,0.01,25.39,,,,01-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Aug-2020 - 00:00,28.87,0.72,11.93,2.68,24.45,7.69,59.86,0.3,326.2,83.31,754.71,126.0,-0.04,0.0,19.62,,,,02-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Aug-2020 - 00:00,28.7,0.82,13.91,2.63,24.12,7.57,65.81,0.53,326.02,84.42,754.35,151.29,-0.41,0.0,24.88,,,,03-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Aug-2020 - 00:00,29.92,0.5,14.06,2.94,24.19,7.73,74.38,0.4,325.74,80.86,754.01,170.33,-0.74,0.0,24.91,,,,04-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Aug-2020 - 00:00,30.48,0.88,21.43,3.58,23.96,8.02,90.85,0.59,324.32,78.0,754.05,166.45,-1.18,0.0,26.43,,,,05-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Aug-2020 - 00:00,29.2,0.69,11.4,2.38,24.29,7.42,71.89,2.38,326.82,80.4,755.03,180.01,-1.05,0.0,6.45,,,,06-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Aug-2020 - 00:00,29.19,0.57,12.0,2.75,24.16,7.57,75.08,3.22,326.32,78.92,754.25,165.07,-1.0,0.0,5.86,,,,07-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Aug-2020 - 00:00,28.17,0.64,10.24,2.42,24.21,7.41,84.92,0.88,326.94,85.56,754.8,104.98,-1.23,0.0,8.6,,,,08-Aug-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
