from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
21-Dec-2019 - 00:00,11.86,994.06,246.96,180.15,77.66,57.6,174.84,1.19,4.09,11.88,65.91,23.71,3.2,15.06,1.03,18.35,5.12,22-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Dec-2019 - 00:00,10.15,995.39,144.3,112.27,78.99,43.59,111.34,1.39,3.09,7.87,57.37,19.48,2.82,12.17,0.87,21.69,6.57,23-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Dec-2019 - 00:00,8.73,994.61,188.24,138.11,77.33,34.42,185.29,1.23,3.1,8.75,43.64,17.96,4.28,12.54,0.86,22.93,5.82,24-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Dec-2019 - 00:00,8.94,996.16,318.54,210.26,76.93,48.11,133.96,0.92,5.11,28.89,44.52,43.11,14.72,34.4,1.36,22.17,6.83,25-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Dec-2019 - 00:00,7.4,995.36,177.65,117.02,78.78,40.43,139.44,1.6,2.7,7.54,39.98,19.35,3.8,12.9,0.81,17.82,5.52,26-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Dec-2019 - 00:00,7.69,994.75,264.98,166.46,76.01,50.83,152.21,1.23,3.15,9.16,44.24,24.07,5.61,16.88,1.05,18.28,10.0,27-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Dec-2019 - 00:00,7.15,995.57,255.81,172.08,74.92,59.5,99.02,0.91,3.43,16.8,43.06,23.46,11.12,21.06,0.92,21.68,4.81,28-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Dec-2019 - 00:00,5.17,996.21,208.69,152.77,81.02,43.13,229.25,0.82,4.6,23.65,39.2,25.09,14.94,25.04,1.17,12.28,5.14,29-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Dec-2019 - 00:00,7.36,996.65,408.49,252.05,78.32,51.92,174.08,0.89,6.07,26.24,45.69,37.75,13.32,30.45,1.44,23.62,8.0,30-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Dec-2019 - 00:00,7.13,996.11,416.96,283.92,81.2,23.18,192.48,1.76,7.03,23.53,65.43,57.03,6.82,35.39,1.75,7.15,8.26,31-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
31-Dec-2019 - 00:00,6.25,996.1,328.0,204.0,76.9,3.55,166.75,2.35,4.9,11.45,51.95,33.5,1.1,18.2,1.3,8.1,4.65,01-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
