from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,BP,station
14-Apr-2019 - 00:00,3.56,2.16,2.55,10.95,,37.71,57.01,0.0,77.9,226.23,,-0.11,177.31,1.79,0.48,7.26,2.39,11.15,13.55,38.66,12.09,15-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
15-Apr-2019 - 00:00,2.64,1.77,2.31,9.98,,36.51,55.64,0.0,82.36,237.73,,-0.12,179.07,1.88,0.57,7.58,2.56,11.23,13.79,31.95,17.73,16-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
16-Apr-2019 - 00:00,4.4,4.42,3.54,11.4,,49.01,86.12,0.0,74.97,208.4,,-0.12,185.96,1.69,0.61,6.87,2.46,11.29,13.75,40.82,11.44,17-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
17-Apr-2019 - 00:00,8.45,3.76,4.09,10.27,,65.85,101.46,0.02,60.09,194.46,,-0.15,217.13,1.62,0.65,5.75,2.43,13.35,15.77,53.03,13.23,18-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
18-Apr-2019 - 00:00,7.11,2.29,3.11,8.28,,84.28,149.51,0.0,55.0,236.29,,-0.14,268.69,1.34,0.6,5.97,2.9,14.58,17.48,51.43,16.09,19-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
19-Apr-2019 - 00:00,6.48,1.74,2.89,8.99,,64.74,100.19,0.0,61.26,155.27,,-0.13,265.21,1.5,0.58,5.16,2.2,10.46,12.66,53.53,14.26,20-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
20-Apr-2019 - 00:00,4.11,1.64,2.3,7.22,,41.45,74.0,0.0,57.21,266.9,,-0.12,252.33,1.5,0.62,5.88,2.43,11.66,14.09,60.02,25.94,21-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
21-Apr-2019 - 00:00,2.48,1.06,1.63,5.56,,43.35,65.3,0.05,71.08,232.66,,-0.13,211.07,1.73,0.62,6.02,2.37,9.37,11.74,47.57,10.67,22-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
22-Apr-2019 - 00:00,7.77,3.39,4.29,8.18,,60.25,74.94,0.0,68.98,227.47,,-0.12,154.62,1.3,0.65,8.44,3.43,12.45,15.82,53.18,15.96,23-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
23-Apr-2019 - 00:00,4.88,2.48,2.51,5.99,,41.06,60.59,0.0,63.51,241.52,,-0.12,199.68,1.33,0.48,5.47,2.45,11.62,14.07,53.98,19.6,24-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
24-Apr-2019 - 00:00,3.82,1.55,1.97,5.07,,35.71,56.02,0.0,69.5,240.17,,-0.11,193.11,1.51,0.45,7.8,2.65,11.26,13.9,40.77,16.24,25-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
25-Apr-2019 - 00:00,3.03,0.91,1.52,5.24,,28.23,47.29,0.0,74.05,241.65,,-0.11,200.73,1.53,0.51,6.49,2.54,11.03,13.57,37.13,17.81,26-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
26-Apr-2019 - 00:00,2.32,0.92,1.32,5.08,,42.0,67.0,0.0,75.03,270.6,,-0.11,198.39,1.82,0.54,6.24,2.65,11.66,14.3,41.1,19.09,27-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
27-Apr-2019 - 00:00,2.17,0.6,1.11,4.87,,46.95,73.71,0.0,76.61,219.56,,-0.11,201.54,2.05,0.5,5.81,2.74,12.12,14.86,39.82,22.6,28-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
28-Apr-2019 - 00:00,1.7,0.49,0.92,4.63,,37.23,63.8,0.0,76.84,236.09,,-0.12,200.26,2.16,0.41,5.03,2.66,10.55,13.21,40.75,16.64,29-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
29-Apr-2019 - 00:00,1.37,0.48,0.9,3.61,,32.62,56.31,0.0,77.14,237.57,,-0.12,197.18,2.39,0.47,7.12,4.11,10.39,14.22,32.8,30.13,30-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
30-Apr-2019 - 00:00,1.51,0.54,1.05,3.84,,22.17,47.22,0.0,70.45,233.81,,-0.12,201.73,2.55,0.5,14.54,3.46,25.43,28.87,28.5,28.93,01-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
01-May-2019 - 00:00,1.31,0.42,0.94,4.25,,17.83,36.01,0.0,71.91,234.56,,-0.12,192.28,2.35,0.49,10.06,3.37,20.62,23.97,17.64,24.68,02-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
02-May-2019 - 00:00,1.8,1.88,1.71,5.44,,17.35,34.98,0.0,74.34,150.01,,-0.11,163.42,2.17,0.48,8.79,2.08,14.83,16.9,17.69,3.41,03-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
03-May-2019 - 00:00,4.43,2.18,2.17,7.57,,18.07,35.11,0.49,86.7,45.96,,-0.16,118.89,2.66,0.4,9.09,2.22,17.48,19.66,22.21,1.33,04-May-2019 - 00:00,998.16,"Padmapukur, Howrah - WBPCB"
04-May-2019 - 00:00,2.49,0.85,1.86,6.48,,20.45,28.12,0.19,89.77,125.62,,-0.16,249.16,2.63,0.57,11.13,2.08,14.24,16.31,24.95,3.68,05-May-2019 - 00:00,997.5,"Padmapukur, Howrah - WBPCB"
05-May-2019 - 00:00,5.3,2.44,3.25,7.31,,55.87,80.28,0.0,80.62,231.09,,-0.12,196.18,1.69,0.62,9.63,3.71,20.87,24.55,24.76,20.33,06-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
06-May-2019 - 00:00,1.92,0.55,1.04,4.31,,54.56,91.38,0.0,75.59,234.87,,-0.11,213.14,1.83,0.57,6.95,1.94,12.69,14.63,40.23,8.94,07-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
07-May-2019 - 00:00,2.26,0.68,1.34,4.67,,57.24,92.05,0.0,77.58,229.79,,-0.11,198.55,2.0,0.57,7.44,2.17,17.47,19.64,36.47,22.48,08-May-2019 - 00:00,999.05,"Padmapukur, Howrah - WBPCB"
08-May-2019 - 00:00,2.44,0.62,1.43,4.84,,59.0,100.22,0.0,81.68,230.68,,-0.11,195.57,2.04,0.53,7.16,2.42,19.42,21.84,30.77,19.53,09-May-2019 - 00:00,997.91,"Padmapukur, Howrah - WBPCB"
09-May-2019 - 00:00,2.44,0.64,1.26,4.56,,57.0,99.05,0.0,82.15,229.27,,-0.11,194.44,2.17,0.6,8.08,2.62,18.08,20.7,30.91,12.48,10-May-2019 - 00:00,997.07,"Padmapukur, Howrah - WBPCB"
10-May-2019 - 00:00,2.25,0.63,1.29,4.69,,59.83,94.95,0.0,81.09,232.41,,-0.11,189.44,2.19,0.62,6.21,2.31,16.83,19.14,32.47,7.03,11-May-2019 - 00:00,998.94,"Padmapukur, Howrah - WBPCB"
11-May-2019 - 00:00,1.79,0.52,1.21,4.53,,53.63,90.59,0.0,77.34,241.52,,-0.11,193.85,2.21,0.58,5.38,2.32,15.55,17.86,31.15,9.16,12-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
12-May-2019 - 00:00,1.46,0.46,0.97,4.71,,53.44,81.85,0.0,77.21,218.76,,-0.12,190.72,2.13,0.54,4.45,2.01,12.64,14.65,28.56,10.9,13-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
13-May-2019 - 00:00,1.71,0.56,1.04,4.93,,42.83,71.02,0.07,77.19,212.36,,-0.12,177.52,2.16,0.53,4.84,2.07,13.54,15.61,28.89,14.96,14-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
14-May-2019 - 00:00,2.8,1.99,1.93,6.25,,35.03,58.06,0.0,67.32,208.17,,-0.12,167.25,1.69,0.49,7.46,2.1,19.28,21.38,34.36,10.6,15-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
15-May-2019 - 00:00,2.84,1.03,1.69,5.7,,41.31,70.23,0.0,71.0,223.29,,-0.11,184.73,1.95,0.54,6.2,2.23,18.24,20.47,28.89,18.85,16-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
16-May-2019 - 00:00,2.7,1.19,1.66,4.97,,45.87,82.66,0.0,71.64,231.73,,-0.11,186.35,1.74,0.57,6.43,2.68,19.37,22.05,32.81,24.04,17-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
17-May-2019 - 00:00,1.99,0.54,1.02,4.22,,47.16,77.78,0.0,79.43,232.69,,-0.11,186.53,2.15,0.56,5.49,2.54,16.06,18.56,30.2,20.72,18-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
18-May-2019 - 00:00,1.42,0.4,0.88,3.95,,44.44,75.55,0.0,78.92,230.84,,-0.11,188.58,2.07,0.53,5.12,2.46,14.74,17.2,28.21,11.73,19-May-2019 - 00:00,999.87,"Padmapukur, Howrah - WBPCB"
19-May-2019 - 00:00,1.73,0.55,0.94,4.14,,45.13,77.14,0.0,72.54,197.5,,-0.11,198.12,1.75,0.52,4.61,2.12,13.09,15.21,37.5,9.05,20-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
20-May-2019 - 00:00,1.57,0.46,0.87,4.03,,44.44,83.11,0.0,76.76,204.15,,-0.11,199.94,1.69,0.54,4.81,2.06,11.65,13.73,31.22,8.61,21-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
21-May-2019 - 00:00,1.4,0.39,0.88,3.82,,37.71,71.46,0.0,77.06,236.62,,-0.11,189.89,2.05,0.5,5.04,2.88,15.65,18.53,25.62,22.72,22-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
22-May-2019 - 00:00,1.4,0.43,0.76,3.89,,46.83,79.19,0.0,74.83,220.08,,-0.11,192.9,2.22,0.55,4.82,2.73,13.37,16.1,27.33,21.82,23-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
23-May-2019 - 00:00,1.43,1.05,1.08,4.06,,31.82,60.1,0.0,71.2,191.58,,-0.12,157.86,2.48,0.5,4.78,2.15,13.12,15.27,28.48,15.83,24-May-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
24-May-2019 - 00:00,1.21,0.44,0.81,3.71,,29.83,62.09,0.0,71.62,230.05,,-0.11,193.47,2.18,0.44,6.63,2.64,15.88,18.52,26.24,28.85,25-May-2019 - 00:00,999.08,"Padmapukur, Howrah - WBPCB"
25-May-2019 - 00:00,1.52,1.24,1.4,3.99,,25.24,56.08,0.08,81.71,159.16,,-0.13,174.41,2.48,0.49,7.16,2.24,14.86,17.1,27.46,9.33,26-May-2019 - 00:00,998.03,"Padmapukur, Howrah - WBPCB"
26-May-2019 - 00:00,1.96,1.4,1.59,4.25,,33.01,57.34,0.0,78.76,229.07,,-0.11,186.47,1.84,0.52,7.06,2.11,14.39,16.5,30.76,10.26,27-May-2019 - 00:00,998.68,"Padmapukur, Howrah - WBPCB"
27-May-2019 - 00:00,1.37,0.61,0.95,3.57,,37.78,70.71,0.0,78.08,254.22,,-0.11,187.24,2.12,0.56,6.36,2.17,13.33,15.49,34.16,7.64,28-May-2019 - 00:00,998.73,"Padmapukur, Howrah - WBPCB"
28-May-2019 - 00:00,2.29,0.77,1.13,3.83,,40.77,72.56,0.0,74.76,254.28,,-0.11,177.73,2.09,0.49,6.76,2.41,14.77,17.18,31.22,16.43,29-May-2019 - 00:00,998.68,"Padmapukur, Howrah - WBPCB"
29-May-2019 - 00:00,2.09,0.59,1.0,4.06,,40.76,68.45,0.0,72.79,239.59,,-0.11,179.06,1.92,0.45,6.01,2.01,12.92,14.94,35.93,13.26,30-May-2019 - 00:00,997.99,"Padmapukur, Howrah - WBPCB"
30-May-2019 - 00:00,1.18,0.44,0.87,3.2,,37.07,67.66,0.0,75.75,246.35,,-0.12,183.71,2.26,0.46,5.8,2.13,12.6,14.72,30.71,16.16,31-May-2019 - 00:00,997.9,"Padmapukur, Howrah - WBPCB"
31-May-2019 - 00:00,1.47,1.87,1.51,3.21,,29.06,56.53,0.03,73.37,225.79,,-0.12,167.49,2.38,0.56,5.51,2.48,12.47,14.93,28.04,9.78,01-Jun-2019 - 00:00,998.93,"Padmapukur, Howrah - WBPCB"
01-Jun-2019 - 00:00,2.15,1.92,1.63,3.83,,34.49,69.48,0.0,69.98,243.47,,-0.11,180.43,1.79,0.69,5.81,2.23,14.02,16.24,38.66,14.65,02-Jun-2019 - 00:00,998.99,"Padmapukur, Howrah - WBPCB"
02-Jun-2019 - 00:00,1.62,0.44,0.82,3.22,,30.6,52.39,0.01,79.4,133.84,,-0.12,169.33,2.13,0.53,5.53,2.2,13.42,15.6,33.86,6.59,03-Jun-2019 - 00:00,999.69,"Padmapukur, Howrah - WBPCB"
03-Jun-2019 - 00:00,2.75,0.94,1.47,4.33,,38.72,52.84,0.0,70.33,233.71,,-0.12,205.9,1.62,0.32,5.91,1.94,13.61,15.55,45.98,15.5,04-Jun-2019 - 00:00,999.4,"Padmapukur, Howrah - WBPCB"
04-Jun-2019 - 00:00,1.69,0.47,0.96,2.73,,34.03,52.15,0.0,74.91,189.0,,-0.12,200.01,1.88,0.37,5.55,2.0,12.73,14.73,33.75,14.88,05-Jun-2019 - 00:00,998.77,"Padmapukur, Howrah - WBPCB"
05-Jun-2019 - 00:00,1.83,1.0,1.39,3.94,,26.95,42.18,0.01,85.65,65.88,,-0.11,170.51,1.83,0.54,5.36,1.99,12.21,14.21,29.64,2.16,06-Jun-2019 - 00:00,997.88,"Padmapukur, Howrah - WBPCB"
06-Jun-2019 - 00:00,3.37,1.45,2.31,8.61,,23.52,40.73,0.0,81.54,187.81,,-0.13,109.61,1.66,0.68,12.29,2.31,18.27,20.57,41.56,0.73,07-Jun-2019 - 00:00,998.68,"Padmapukur, Howrah - WBPCB"
07-Jun-2019 - 00:00,3.4,2.21,2.35,9.29,,21.28,31.35,0.0,80.88,100.15,,-0.12,117.54,1.67,0.64,8.52,1.89,16.85,18.75,80.96,0.4,08-Jun-2019 - 00:00,999.86,"Padmapukur, Howrah - WBPCB"
08-Jun-2019 - 00:00,3.42,2.43,2.36,9.46,,18.43,24.98,0.0,75.47,165.24,,-0.12,132.22,1.46,0.39,8.06,1.89,16.3,18.19,79.33,0.42,09-Jun-2019 - 00:00,998.67,"Padmapukur, Howrah - WBPCB"
09-Jun-2019 - 00:00,2.97,1.25,1.89,9.03,,33.66,46.21,0.0,76.48,212.04,,-0.12,210.76,1.57,0.32,6.7,1.84,12.75,14.58,84.28,0.21,10-Jun-2019 - 00:00,996.91,"Padmapukur, Howrah - WBPCB"
10-Jun-2019 - 00:00,1.86,1.12,1.41,7.64,,35.12,54.26,0.0,76.66,198.33,,-0.12,170.49,1.99,0.5,6.97,1.75,13.59,15.34,96.83,0.39,11-Jun-2019 - 00:00,995.77,"Padmapukur, Howrah - WBPCB"
11-Jun-2019 - 00:00,1.76,1.48,1.58,5.64,,29.64,52.44,0.0,74.81,227.08,,-0.12,160.12,2.05,0.67,13.94,1.92,14.97,16.89,69.96,0.46,12-Jun-2019 - 00:00,995.62,"Padmapukur, Howrah - WBPCB"
12-Jun-2019 - 00:00,1.64,1.09,1.1,3.11,,39.95,56.88,0.18,77.45,183.5,,-0.13,159.24,2.04,0.57,8.04,1.7,13.97,15.64,34.58,0.21,13-Jun-2019 - 00:00,995.85,"Padmapukur, Howrah - WBPCB"
13-Jun-2019 - 00:00,3.46,1.47,1.96,8.77,,50.7,59.44,0.01,76.24,211.69,,-0.12,225.0,1.37,0.46,11.43,1.95,24.78,26.68,23.47,0.97,14-Jun-2019 - 00:00,995.09,"Padmapukur, Howrah - WBPCB"
14-Jun-2019 - 00:00,3.65,4.2,3.21,9.03,,57.32,77.83,0.14,77.14,204.54,,-0.12,205.29,1.49,0.51,14.01,1.86,19.21,21.07,18.62,2.09,15-Jun-2019 - 00:00,993.72,"Padmapukur, Howrah - WBPCB"
15-Jun-2019 - 00:00,2.49,5.78,4.07,9.06,,33.38,50.09,0.0,81.54,135.78,,-0.12,171.12,2.05,0.67,11.65,1.93,22.44,24.36,3.6,1.43,16-Jun-2019 - 00:00,994.23,"Padmapukur, Howrah - WBPCB"
16-Jun-2019 - 00:00,1.92,1.33,1.91,8.23,,38.91,54.01,0.0,74.9,231.01,,-0.11,193.34,1.97,0.61,13.02,2.1,23.75,25.84,7.23,1.59,17-Jun-2019 - 00:00,994.19,"Padmapukur, Howrah - WBPCB"
17-Jun-2019 - 00:00,3.29,1.31,2.14,8.82,,56.37,82.03,0.0,78.15,115.68,,-0.11,207.99,1.67,0.45,13.45,1.79,25.39,27.17,7.16,1.63,18-Jun-2019 - 00:00,994.47,"Padmapukur, Howrah - WBPCB"
18-Jun-2019 - 00:00,3.66,2.69,2.9,9.41,,53.93,76.91,0.08,83.23,163.49,,-0.11,153.22,1.68,0.37,13.65,2.16,26.78,28.93,19.62,1.4,19-Jun-2019 - 00:00,994.96,"Padmapukur, Howrah - WBPCB"
19-Jun-2019 - 00:00,4.77,4.67,3.87,11.08,,55.96,78.04,0.06,79.49,207.52,,-0.1,171.02,1.4,0.62,12.01,2.04,25.69,27.72,48.43,1.48,20-Jun-2019 - 00:00,995.32,"Padmapukur, Howrah - WBPCB"
20-Jun-2019 - 00:00,5.25,4.6,4.14,10.45,,45.98,59.16,0.0,77.5,187.14,,-0.1,168.7,1.57,0.62,13.1,2.78,22.0,24.77,32.31,1.46,21-Jun-2019 - 00:00,996.59,"Padmapukur, Howrah - WBPCB"
21-Jun-2019 - 00:00,4.93,2.67,3.05,10.64,,19.65,31.23,0.05,86.54,114.04,,-0.12,111.22,1.9,0.47,15.95,2.5,21.84,24.33,27.37,1.74,22-Jun-2019 - 00:00,996.35,"Padmapukur, Howrah - WBPCB"
22-Jun-2019 - 00:00,2.11,2.53,2.7,9.7,,20.67,29.69,0.12,82.44,198.26,,-0.09,158.14,2.06,0.41,23.95,2.72,21.89,24.6,27.74,1.59,23-Jun-2019 - 00:00,997.93,"Padmapukur, Howrah - WBPCB"
23-Jun-2019 - 00:00,1.51,1.64,2.24,9.57,,18.76,27.94,0.11,78.72,195.03,,-0.09,162.33,1.97,0.37,18.39,2.09,19.78,21.86,25.11,1.61,24-Jun-2019 - 00:00,999.13,"Padmapukur, Howrah - WBPCB"
24-Jun-2019 - 00:00,1.79,1.09,1.85,8.27,,30.53,44.71,0.0,77.02,194.9,,-0.09,198.39,1.82,0.43,24.26,2.38,28.47,30.84,29.35,1.44,25-Jun-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
25-Jun-2019 - 00:00,2.85,2.1,2.59,8.14,,25.97,40.01,0.02,75.96,225.43,,-0.07,203.94,2.08,0.44,22.88,3.1,23.58,26.67,27.1,4.67,26-Jun-2019 - 00:00,999.83,"Padmapukur, Howrah - WBPCB"
26-Jun-2019 - 00:00,1.2,0.84,1.45,7.41,,19.6,38.2,0.0,74.83,241.26,,-0.08,201.46,2.33,0.33,12.61,3.26,19.47,22.71,30.7,11.58,27-Jun-2019 - 00:00,997.97,"Padmapukur, Howrah - WBPCB"
27-Jun-2019 - 00:00,1.35,0.87,1.48,7.13,,22.95,44.53,0.0,76.31,207.44,,-0.08,199.56,2.13,0.37,3.04,3.0,21.66,24.64,29.09,19.81,28-Jun-2019 - 00:00,995.59,"Padmapukur, Howrah - WBPCB"
28-Jun-2019 - 00:00,2.14,1.12,2.04,8.67,,30.49,41.29,0.0,79.96,113.57,,-0.08,198.91,1.89,0.46,2.77,1.88,22.62,24.48,41.56,13.87,29-Jun-2019 - 00:00,994.33,"Padmapukur, Howrah - WBPCB"
29-Jun-2019 - 00:00,4.54,2.05,2.91,11.57,,45.86,63.62,0.01,83.56,124.63,,-0.08,172.68,1.41,0.56,1.79,2.22,29.58,31.8,39.18,3.91,30-Jun-2019 - 00:00,993.66,"Padmapukur, Howrah - WBPCB"
30-Jun-2019 - 00:00,5.91,3.41,4.3,13.19,,48.0,58.51,0.05,83.68,166.01,,-0.12,146.25,1.25,0.56,1.57,5.08,35.45,40.52,24.06,9.82,01-Jul-2019 - 00:00,993.59,"Padmapukur, Howrah - WBPCB"
01-Jul-2019 - 00:00,4.54,1.69,2.91,10.0,,26.76,35.45,0.02,83.39,176.71,,-0.08,96.66,2.02,0.42,1.79,4.11,26.82,30.93,24.59,3.38,02-Jul-2019 - 00:00,991.58,"Padmapukur, Howrah - WBPCB"
02-Jul-2019 - 00:00,3.98,4.49,3.73,10.46,,18.19,27.45,0.09,87.13,168.63,,-0.08,124.23,2.23,0.44,1.22,1.96,19.75,21.69,34.51,1.52,03-Jul-2019 - 00:00,992.56,"Padmapukur, Howrah - WBPCB"
03-Jul-2019 - 00:00,2.33,3.89,3.32,7.42,,19.96,36.19,0.04,84.96,207.15,,-0.09,175.01,1.68,0.5,3.12,2.43,24.96,27.37,34.39,4.91,04-Jul-2019 - 00:00,994.74,"Padmapukur, Howrah - WBPCB"
04-Jul-2019 - 00:00,2.01,0.54,1.09,3.15,,35.49,52.19,0.0,78.29,151.87,,-0.1,203.56,1.55,0.44,5.92,2.16,26.01,28.09,37.42,6.19,05-Jul-2019 - 00:00,993.71,"Padmapukur, Howrah - WBPCB"
05-Jul-2019 - 00:00,4.52,2.98,2.79,7.02,,41.83,57.64,0.03,84.32,133.13,,-0.16,197.8,1.44,0.47,3.97,2.43,27.64,30.13,28.08,5.63,06-Jul-2019 - 00:00,991.04,"Padmapukur, Howrah - WBPCB"
06-Jul-2019 - 00:00,3.03,0.88,1.65,5.94,,35.06,43.0,0.14,91.7,121.04,,-0.1,228.75,1.55,0.32,4.91,2.01,21.33,23.31,28.97,3.9,07-Jul-2019 - 00:00,989.39,"Padmapukur, Howrah - WBPCB"
07-Jul-2019 - 00:00,1.59,0.35,0.84,2.9,,21.7,31.56,0.0,83.33,117.93,,-0.1,201.68,1.8,0.36,4.35,2.27,17.12,19.22,26.88,5.25,08-Jul-2019 - 00:00,992.03,"Padmapukur, Howrah - WBPCB"
08-Jul-2019 - 00:00,1.26,0.43,0.88,2.66,,29.79,45.46,0.12,83.06,167.98,,-0.1,197.05,2.08,0.31,3.89,2.39,21.61,23.85,32.54,9.13,09-Jul-2019 - 00:00,994.32,"Padmapukur, Howrah - WBPCB"
09-Jul-2019 - 00:00,1.07,0.43,0.84,2.61,,33.23,45.15,0.0,81.32,194.35,,-0.1,197.66,2.18,0.33,3.67,2.41,21.05,23.41,35.17,7.97,10-Jul-2019 - 00:00,994.77,"Padmapukur, Howrah - WBPCB"
10-Jul-2019 - 00:00,1.4,0.45,0.92,2.66,,28.41,46.54,0.1,84.67,159.53,,-0.1,200.63,1.91,0.33,4.43,2.6,21.63,24.2,32.76,5.04,11-Jul-2019 - 00:00,994.96,"Padmapukur, Howrah - WBPCB"
11-Jul-2019 - 00:00,1.27,0.57,1.03,2.51,,34.27,46.61,0.0,84.2,85.54,,-0.1,202.55,1.93,0.22,3.59,2.08,21.29,22.75,26.65,8.4,12-Jul-2019 - 00:00,997.15,"Padmapukur, Howrah - WBPCB"
12-Jul-2019 - 00:00,1.39,0.55,1.09,2.67,,32.44,52.54,0.0,82.47,142.14,,-0.11,207.77,1.99,0.3,4.65,2.05,21.79,23.83,32.84,8.75,13-Jul-2019 - 00:00,998.61,"Padmapukur, Howrah - WBPCB"
13-Jul-2019 - 00:00,1.53,0.45,0.91,2.97,,39.84,62.75,0.0,80.59,187.55,,-0.12,216.94,1.89,0.33,3.69,2.02,20.48,22.49,40.54,8.95,14-Jul-2019 - 00:00,997.91,"Padmapukur, Howrah - WBPCB"
14-Jul-2019 - 00:00,1.52,0.38,0.88,2.79,,44.6,68.75,0.0,76.24,217.4,,-0.13,218.51,1.79,0.38,3.58,1.8,19.71,21.5,46.06,13.77,15-Jul-2019 - 00:00,996.1,"Padmapukur, Howrah - WBPCB"
15-Jul-2019 - 00:00,2.1,0.77,1.47,3.43,,49.47,78.65,0.0,74.45,169.82,,-0.12,218.57,1.66,0.37,3.81,1.84,23.31,25.15,44.94,12.32,16-Jul-2019 - 00:00,995.34,"Padmapukur, Howrah - WBPCB"
16-Jul-2019 - 00:00,3.56,2.29,3.14,5.78,,52.96,79.41,0.24,82.66,120.05,,-0.12,203.51,1.27,0.64,2.53,3.11,32.8,35.9,33.49,10.2,17-Jul-2019 - 00:00,996.96,"Padmapukur, Howrah - WBPCB"
17-Jul-2019 - 00:00,8.15,4.42,5.27,9.78,,70.73,96.98,0.0,74.56,214.36,,-0.12,153.58,1.22,0.48,3.75,9.31,32.6,41.93,34.15,6.38,18-Jul-2019 - 00:00,996.81,"Padmapukur, Howrah - WBPCB"
18-Jul-2019 - 00:00,2.9,1.6,1.68,4.31,,50.7,63.89,0.0,74.23,227.25,,-0.12,179.64,1.55,0.32,3.26,2.49,20.36,22.84,31.77,2.92,19-Jul-2019 - 00:00,996.74,"Padmapukur, Howrah - WBPCB"
19-Jul-2019 - 00:00,1.77,1.63,1.34,3.4,,18.53,31.34,0.0,71.62,201.21,,-0.13,140.46,1.97,0.27,3.4,2.07,18.35,20.41,25.92,3.11,20-Jul-2019 - 00:00,997.74,"Padmapukur, Howrah - WBPCB"
20-Jul-2019 - 00:00,1.06,1.65,1.27,2.83,,28.45,43.22,0.0,75.73,187.75,,-0.11,171.41,1.86,0.22,3.09,2.4,20.39,22.77,28.53,10.53,21-Jul-2019 - 00:00,999.28,"Padmapukur, Howrah - WBPCB"
21-Jul-2019 - 00:00,0.87,0.31,0.71,2.43,,20.38,46.11,0.0,76.64,203.99,,-0.11,200.42,1.97,0.21,3.03,2.28,21.94,24.2,29.72,15.63,22-Jul-2019 - 00:00,999.35,"Padmapukur, Howrah - WBPCB"
22-Jul-2019 - 00:00,0.76,0.3,0.62,2.0,,13.48,38.44,0.0,76.23,232.05,,-0.12,204.82,1.96,0.22,4.01,4.19,19.76,23.66,24.54,19.31,23-Jul-2019 - 00:00,998.75,"Padmapukur, Howrah - WBPCB"
23-Jul-2019 - 00:00,1.02,0.35,0.71,2.41,,8.33,35.36,0.0,74.53,205.53,,-0.12,202.2,1.99,0.22,2.98,5.68,20.57,26.25,21.14,21.74,24-Jul-2019 - 00:00,997.97,"Padmapukur, Howrah - WBPCB"
24-Jul-2019 - 00:00,1.79,0.43,0.97,2.84,,9.82,37.02,0.02,76.86,221.9,,-0.13,218.73,1.7,0.27,3.22,4.2,20.64,24.83,25.0,14.82,25-Jul-2019 - 00:00,997.51,"Padmapukur, Howrah - WBPCB"
25-Jul-2019 - 00:00,3.18,0.98,1.85,4.72,,21.83,50.1,0.03,81.62,149.55,,-0.12,236.6,1.26,0.26,3.15,2.28,26.59,28.85,30.51,16.52,26-Jul-2019 - 00:00,997.15,"Padmapukur, Howrah - WBPCB"
26-Jul-2019 - 00:00,5.06,0.75,1.64,5.51,,16.52,37.55,0.09,89.45,106.82,,-0.12,184.73,1.28,0.29,3.15,2.38,24.65,27.46,28.49,2.86,27-Jul-2019 - 00:00,994.87,"Padmapukur, Howrah - WBPCB"
27-Jul-2019 - 00:00,4.12,2.75,2.69,5.11,,12.43,33.18,0.02,85.7,132.96,,-0.12,163.51,1.41,0.31,2.94,5.13,29.41,34.51,26.84,3.02,28-Jul-2019 - 00:00,994.16,"Padmapukur, Howrah - WBPCB"
28-Jul-2019 - 00:00,2.43,0.52,1.1,3.25,,4.96,21.66,0.08,86.33,157.99,,-0.15,109.07,2.22,0.15,3.89,2.61,18.43,20.99,26.83,1.64,29-Jul-2019 - 00:00,994.74,"Padmapukur, Howrah - WBPCB"
