from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
04-Sep-2018 - 00:00,27.64,980.37,41.82,84.97,89.72,109.68,202.01,0.63,,0.56,78.17,,35.06,5.88,5.2,2.53,0.79,14.06,3.89,05-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
05-Sep-2018 - 00:00,27.58,979.62,37.14,83.84,89.52,99.62,245.3,0.69,,0.43,25.75,,29.04,4.16,3.55,1.63,0.68,12.12,4.55,06-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
06-Sep-2018 - 00:00,29.35,978.94,41.92,102.99,80.73,221.27,272.27,0.97,,0.59,45.97,,25.7,4.09,3.18,1.24,0.57,15.24,4.63,07-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
07-Sep-2018 - 00:00,27.63,980.99,34.55,77.83,85.76,143.38,140.1,0.78,,1.2,135.81,,29.26,5.71,4.43,1.71,0.67,21.78,5.31,08-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
08-Sep-2018 - 00:00,28.6,981.49,11.75,76.86,82.27,203.98,75.19,1.47,,0.93,133.78,,24.32,3.69,3.35,1.75,0.53,9.71,6.22,09-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
09-Sep-2018 - 00:00,29.8,982.77,26.98,57.91,73.29,235.8,139.42,1.55,,0.61,31.31,,26.3,6.94,6.33,3.24,0.62,16.66,8.99,10-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
10-Sep-2018 - 00:00,28.97,983.98,42.3,92.44,78.91,174.55,172.68,0.72,,1.04,49.06,,25.25,6.29,4.92,1.94,0.68,33.88,6.36,11-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
11-Sep-2018 - 00:00,30.22,983.2,27.92,55.68,78.66,209.86,282.64,0.81,,0.49,16.56,,21.4,2.95,2.16,0.72,0.51,14.21,5.29,12-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
12-Sep-2018 - 00:00,30.19,980.5,39.15,89.33,75.82,209.98,271.63,1.19,,0.54,37.17,,20.56,3.34,2.73,1.16,0.45,15.0,5.24,13-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
13-Sep-2018 - 00:00,29.71,980.43,37.15,90.44,70.82,208.88,288.69,1.1,,0.51,12.16,,23.03,3.0,2.28,0.84,0.42,15.22,6.85,14-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
14-Sep-2018 - 00:00,29.34,982.86,39.79,94.45,72.89,218.14,297.52,0.98,,0.72,25.59,,22.04,3.62,2.84,1.12,0.5,17.59,6.7,15-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
15-Sep-2018 - 00:00,29.51,984.51,40.97,94.52,68.82,220.84,300.4,0.98,,0.72,23.54,,21.65,3.74,2.85,1.04,0.47,17.25,4.99,16-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
16-Sep-2018 - 00:00,29.67,982.98,48.51,115.81,71.04,209.74,295.29,1.16,,0.97,39.08,,24.21,3.31,2.25,0.59,0.53,22.18,6.32,17-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
17-Sep-2018 - 00:00,29.26,982.19,57.83,139.83,74.73,195.71,296.42,1.04,,1.24,48.06,,25.84,3.81,2.69,0.81,0.51,26.32,6.43,18-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
18-Sep-2018 - 00:00,29.63,982.21,65.33,171.47,68.89,208.19,290.14,1.25,,1.78,96.65,,28.69,3.98,2.61,0.6,0.56,32.37,7.1,19-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
19-Sep-2018 - 00:00,26.79,983.08,65.74,164.96,82.28,185.43,273.83,0.6,,1.74,40.13,,28.43,5.06,4.33,1.99,0.65,15.38,6.08,20-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
20-Sep-2018 - 00:00,32.63,982.82,86.59,219.23,55.83,241.76,70.91,1.14,,2.51,281.67,,37.0,5.07,3.19,0.6,0.74,60.46,13.17,21-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
21-Sep-2018 - 00:00,28.8,985.22,56.25,137.1,70.52,156.86,104.59,1.65,,1.92,73.11,,36.32,6.73,5.79,2.72,0.6,17.08,9.93,22-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
22-Sep-2018 - 00:00,25.53,985.52,23.45,45.95,88.42,51.73,78.9,1.71,,0.85,82.45,,26.28,4.14,4.29,2.56,0.88,11.97,4.49,23-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
23-Sep-2018 - 00:00,26.2,985.04,26.09,47.22,89.42,77.26,104.29,2.23,,0.52,53.05,,24.35,3.49,3.14,1.57,0.45,15.21,5.09,24-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
24-Sep-2018 - 00:00,25.0,983.15,26.44,40.0,93.66,46.07,129.59,1.21,,4.07,49.01,,23.45,18.51,17.0,8.82,0.58,12.93,4.28,25-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
25-Sep-2018 - 00:00,24.09,984.49,22.05,36.61,92.52,77.57,275.31,0.91,,1.15,40.36,,21.62,16.93,12.55,4.39,0.57,16.25,4.81,26-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
26-Sep-2018 - 00:00,26.96,984.23,36.54,77.6,81.88,208.59,297.24,0.76,,1.9,40.96,,21.19,24.14,17.82,6.13,0.74,21.36,3.94,27-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
27-Sep-2018 - 00:00,27.75,985.05,71.55,149.95,79.93,199.66,260.09,0.61,,3.49,89.13,,24.97,31.61,49.27,40.01,1.1,23.93,5.8,28-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
28-Sep-2018 - 00:00,28.45,985.78,95.56,220.32,74.08,192.19,235.02,0.5,,6.15,162.53,,31.62,42.1,69.5,57.79,1.29,29.55,7.53,29-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
29-Sep-2018 - 00:00,29.01,986.39,107.77,232.01,72.33,183.64,242.24,0.82,,6.39,204.04,,36.09,42.75,47.88,30.94,1.09,33.23,8.95,30-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
30-Sep-2018 - 00:00,27.65,985.81,58.2,110.52,74.5,203.68,304.06,0.95,,2.22,20.41,,32.19,23.74,15.69,3.75,0.83,26.64,6.51,01-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
01-Oct-2018 - 00:00,27.95,985.56,73.23,155.87,72.2,199.23,284.87,0.77,,3.2,76.2,,30.16,31.84,22.85,7.26,0.94,30.73,7.21,02-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
02-Oct-2018 - 00:00,28.32,986.23,91.01,168.86,70.29,194.94,283.8,0.65,,3.97,58.23,,31.9,26.75,19.4,6.34,0.85,25.18,8.03,03-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
03-Oct-2018 - 00:00,28.95,985.67,80.9,198.6,61.22,191.28,206.45,0.69,,4.86,82.94,,31.24,36.93,38.82,23.23,0.95,26.93,10.81,04-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
04-Oct-2018 - 00:00,28.39,987.16,133.66,294.08,67.57,154.62,150.0,0.83,,11.29,163.38,,44.08,55.49,65.51,44.06,1.26,41.07,8.3,05-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
05-Oct-2018 - 00:00,27.71,988.22,151.51,291.44,67.3,176.3,205.16,0.84,,10.06,173.21,,48.02,47.51,47.36,27.25,1.11,34.69,17.63,06-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
06-Oct-2018 - 00:00,26.86,987.79,90.72,167.51,65.96,187.41,294.82,0.79,,6.78,69.76,,39.37,33.61,25.31,9.49,0.8,19.32,6.14,07-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
07-Oct-2018 - 00:00,26.72,987.23,103.23,222.53,62.04,175.74,287.64,0.81,,5.81,104.13,,37.66,37.6,28.34,10.29,0.83,31.37,7.71,08-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
08-Oct-2018 - 00:00,27.97,985.8,147.95,312.79,57.47,163.71,149.47,0.8,,6.62,134.78,,41.12,51.08,53.98,32.91,1.0,38.33,14.66,09-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
09-Oct-2018 - 00:00,28.3,984.89,135.66,302.81,58.81,162.04,106.32,1.31,,5.78,114.23,,48.03,58.25,49.95,22.99,0.95,36.91,16.39,10-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
10-Oct-2018 - 00:00,26.76,985.89,120.94,239.55,72.02,124.9,103.08,1.56,,4.74,93.94,,55.75,47.39,35.75,13.41,1.13,14.48,11.27,11-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
11-Oct-2018 - 00:00,25.25,988.35,56.04,213.39,55.2,176.88,97.92,1.56,,3.55,201.14,,36.8,40.94,38.95,22.48,0.74,29.36,6.59,12-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
12-Oct-2018 - 00:00,24.84,989.69,85.88,203.38,54.77,165.64,149.76,0.93,,5.06,231.56,,34.4,39.01,44.3,28.91,0.81,26.21,8.5,13-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
13-Oct-2018 - 00:00,23.84,989.81,175.71,261.79,62.92,161.81,292.16,0.84,,6.2,88.69,,41.83,36.06,29.41,12.47,0.94,23.48,9.6,14-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
14-Oct-2018 - 00:00,24.27,988.91,121.03,216.38,59.95,165.6,307.24,0.9,,4.74,33.59,,34.93,34.58,22.74,5.48,0.94,35.15,6.28,15-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
15-Oct-2018 - 00:00,25.62,989.37,172.59,352.94,56.58,150.81,199.86,0.77,,7.35,147.21,,40.93,52.81,55.06,33.06,1.22,30.64,12.76,16-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
16-Oct-2018 - 00:00,26.45,989.0,218.82,450.02,58.23,123.86,137.95,0.81,,10.68,123.67,,53.95,77.86,92.24,62.38,1.25,52.23,16.87,17-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
17-Oct-2018 - 00:00,26.54,987.54,180.42,396.29,55.93,185.73,180.69,0.79,,8.05,138.91,,52.69,67.41,99.59,78.1,1.7,29.72,13.13,18-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
18-Oct-2018 - 00:00,26.41,987.06,193.96,391.34,57.7,157.15,123.53,1.01,,8.78,112.73,,55.06,73.5,73.3,42.14,1.61,32.01,14.37,19-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
19-Oct-2018 - 00:00,25.5,988.67,170.53,341.51,59.03,148.08,208.26,0.88,,8.39,178.59,,52.6,47.38,39.95,18.13,1.47,39.72,16.74,20-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
20-Oct-2018 - 00:00,26.04,990.89,236.66,405.4,45.21,163.54,208.09,0.83,,8.77,224.7,,48.95,46.81,33.58,10.63,1.32,41.67,20.31,21-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
21-Oct-2018 - 00:00,23.68,991.56,182.26,319.92,51.81,106.99,250.61,0.95,,6.53,167.57,,50.7,46.27,35.87,13.84,1.02,41.66,18.26,22-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
22-Oct-2018 - 00:00,22.73,990.42,164.04,264.64,56.07,153.15,292.03,0.78,,6.33,63.25,,40.84,43.54,29.45,7.74,1.04,45.36,10.33,23-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
23-Oct-2018 - 00:00,23.48,990.22,181.49,357.86,55.13,149.78,242.24,0.58,,7.51,78.22,,41.12,57.58,91.98,74.65,1.52,44.93,12.83,24-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
24-Oct-2018 - 00:00,23.81,990.27,218.88,453.69,55.05,130.69,123.82,0.65,,11.1,303.36,,51.38,72.25,94.43,69.1,1.61,47.13,20.12,25-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
25-Oct-2018 - 00:00,23.23,991.78,210.64,376.5,57.97,135.6,96.27,0.83,,8.63,238.93,,56.49,59.46,109.84,93.7,1.41,44.17,22.69,26-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
26-Oct-2018 - 00:00,22.32,993.56,249.48,443.73,62.22,108.61,198.73,0.57,,10.87,230.14,,57.62,73.57,117.58,96.65,1.65,39.31,20.34,27-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
27-Oct-2018 - 00:00,22.65,993.66,297.1,471.59,65.02,110.22,248.82,0.58,,12.32,212.65,,58.68,64.69,70.6,44.46,1.72,48.87,21.86,28-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
28-Oct-2018 - 00:00,22.9,993.17,272.33,405.11,65.44,135.71,281.87,0.82,,9.68,117.62,,55.35,48.01,43.55,22.15,1.47,42.27,12.15,29-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
29-Oct-2018 - 00:00,22.95,992.44,323.51,456.27,67.09,118.3,278.81,0.55,,10.38,70.2,,59.23,55.9,59.61,36.65,1.84,40.97,12.75,30-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
30-Oct-2018 - 00:00,22.83,992.42,365.99,583.43,69.74,102.27,187.24,0.48,,11.0,176.43,,64.3,84.72,140.83,119.18,2.1,43.44,12.63,31-Oct-2018 - 00:00,"Narela, Delhi - DPCC"
31-Oct-2018 - 00:00,22.88,992.9,269.88,500.69,70.26,97.21,152.39,0.65,,10.43,266.92,,63.68,119.59,191.15,148.52,1.98,36.61,14.45,01-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
01-Nov-2018 - 00:00,23.06,991.83,254.21,467.23,67.03,86.97,116.76,0.84,,11.84,216.87,,45.22,94.3,126.88,94.55,1.65,35.89,20.41,02-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
02-Nov-2018 - 00:00,23.73,990.24,221.44,412.6,61.8,96.25,99.17,1.22,,9.5,187.35,,29.45,70.08,58.37,25.96,1.37,38.0,22.39,03-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
03-Nov-2018 - 00:00,20.55,989.35,212.39,336.91,75.57,54.29,95.36,1.6,,7.52,87.91,,29.57,52.83,38.52,12.86,1.1,8.95,13.93,04-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
04-Nov-2018 - 00:00,23.8,990.63,188.58,281.93,58.4,156.31,282.88,1.1,,4.08,25.03,,27.1,39.83,23.89,6.42,1.45,70.33,14.68,05-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
05-Nov-2018 - 00:00,19.2,991.02,385.35,502.72,73.58,93.63,303.42,0.8,,7.07,42.27,,27.83,48.41,33.65,9.79,1.64,29.63,9.0,06-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
06-Nov-2018 - 00:00,19.78,991.36,199.34,301.25,49.94,176.33,316.72,1.26,,4.35,33.23,,18.44,39.74,25.36,5.4,0.94,45.13,1.23,07-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
07-Nov-2018 - 00:00,18.8,991.96,174.97,275.87,47.18,169.5,275.75,0.73,,4.33,19.04,,17.38,37.61,31.78,14.82,0.93,54.55,3.33,08-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
08-Nov-2018 - 00:00,17.67,992.24,322.36,442.74,62.64,114.72,212.45,0.36,,9.46,62.47,,20.75,54.33,70.03,49.13,1.5,31.43,5.86,09-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
09-Nov-2018 - 00:00,19.08,990.51,301.79,415.93,67.55,143.34,257.37,0.45,,13.27,74.11,,26.2,55.13,45.55,19.94,1.59,34.97,14.27,10-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
10-Nov-2018 - 00:00,19.21,991.53,320.62,513.73,73.47,103.68,136.85,0.5,,12.27,156.48,,30.07,87.91,88.33,50.89,1.96,32.99,13.66,11-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
11-Nov-2018 - 00:00,21.14,991.82,288.69,476.67,64.81,130.42,127.69,0.69,,9.85,125.89,,30.86,74.93,86.12,56.89,1.68,49.56,12.45,12-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
12-Nov-2018 - 00:00,21.8,989.93,280.02,483.17,65.11,125.7,92.14,0.84,,9.77,148.3,,37.28,77.82,75.25,41.54,1.68,35.24,12.67,13-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
13-Nov-2018 - 00:00,21.79,987.72,287.64,502.04,68.39,83.39,127.42,0.89,,12.7,139.83,,36.21,94.63,91.57,50.64,2.0,18.14,14.77,14-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
14-Nov-2018 - 00:00,21.85,988.49,148.07,261.36,71.85,116.77,135.24,0.82,,7.3,100.97,,30.45,79.78,80.91,47.1,1.42,21.22,25.73,15-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
15-Nov-2018 - 00:00,20.5,991.93,124.21,217.75,73.27,120.07,207.62,1.05,,5.6,129.95,,28.69,48.27,41.6,19.63,1.01,20.34,26.75,16-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
16-Nov-2018 - 00:00,19.09,990.78,141.36,209.41,61.27,156.96,310.68,1.29,,3.06,16.83,,21.09,33.5,20.84,3.71,0.74,35.77,27.22,17-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
17-Nov-2018 - 00:00,18.43,989.28,163.81,256.08,64.24,144.98,291.0,0.66,,4.09,45.14,,20.29,46.48,30.61,7.22,0.99,30.96,26.76,18-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
18-Nov-2018 - 00:00,20.0,990.49,219.89,381.7,62.69,122.72,156.7,0.92,,6.83,67.33,,23.1,86.42,67.84,26.83,1.38,30.13,22.07,19-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
19-Nov-2018 - 00:00,21.0,992.84,214.58,381.65,61.23,85.57,110.22,1.45,,6.04,67.44,,26.12,77.18,52.0,13.45,1.24,28.42,19.51,20-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
20-Nov-2018 - 00:00,20.7,993.04,251.06,414.29,68.42,119.84,225.63,0.74,,7.28,116.97,,32.04,69.15,65.36,35.18,1.59,32.32,19.57,21-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
21-Nov-2018 - 00:00,19.72,993.16,213.83,327.21,59.21,140.08,299.09,0.67,,5.58,38.82,,25.88,53.19,38.43,12.45,1.57,26.76,14.67,22-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
22-Nov-2018 - 00:00,19.19,994.0,175.81,337.35,56.07,124.23,233.18,0.39,,6.64,142.45,,22.24,74.42,84.77,55.42,1.86,24.81,7.45,23-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
23-Nov-2018 - 00:00,19.69,995.31,172.88,309.75,50.77,136.35,315.58,1.21,,4.82,67.29,,22.63,49.82,33.51,8.54,1.39,32.3,9.71,24-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
24-Nov-2018 - 00:00,19.21,993.58,102.58,203.15,51.42,141.45,312.78,1.13,,3.05,16.34,,19.47,41.15,25.86,4.85,1.17,35.47,9.61,25-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
25-Nov-2018 - 00:00,18.42,993.41,154.96,288.69,57.67,132.06,303.14,0.66,,5.09,60.83,,21.79,59.37,47.94,19.88,1.64,27.5,11.88,26-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
26-Nov-2018 - 00:00,18.49,992.58,179.31,352.85,63.35,127.16,269.82,0.62,,7.9,124.99,,24.11,71.84,97.33,72.37,2.13,25.3,9.51,27-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
27-Nov-2018 - 00:00,19.29,994.32,268.11,536.25,66.92,95.54,152.75,0.61,,15.58,203.92,,33.14,136.33,214.95,174.8,3.61,16.26,9.35,28-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
28-Nov-2018 - 00:00,19.55,995.25,235.94,451.46,71.3,89.72,167.46,0.55,,11.22,161.78,,53.72,90.59,152.28,127.38,2.81,10.04,8.32,29-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
29-Nov-2018 - 00:00,18.51,995.34,226.59,382.22,72.91,103.29,286.23,0.61,,8.29,123.82,,51.41,62.31,66.29,41.62,2.15,9.86,12.31,30-Nov-2018 - 00:00,"Narela, Delhi - DPCC"
30-Nov-2018 - 00:00,18.26,994.76,200.69,337.33,64.69,114.26,310.84,0.77,,6.27,30.99,,42.42,49.79,38.61,14.14,1.84,10.98,12.29,01-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
01-Dec-2018 - 00:00,17.63,992.16,142.73,300.4,60.95,121.22,275.16,0.69,,4.71,57.12,,36.33,44.16,70.22,57.39,1.98,28.61,15.45,02-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
02-Dec-2018 - 00:00,17.05,991.5,170.31,354.81,61.83,113.62,230.09,0.4,,6.71,116.94,,39.31,55.47,102.73,89.69,2.18,32.68,14.41,03-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
03-Dec-2018 - 00:00,16.86,992.42,185.5,352.79,62.28,110.79,251.22,0.54,,6.01,85.67,,41.77,54.62,73.39,54.31,2.16,34.6,15.76,04-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
04-Dec-2018 - 00:00,16.29,994.18,217.0,419.98,69.72,101.94,248.13,0.43,,7.62,118.92,,48.39,63.54,113.21,97.44,2.6,24.66,14.04,05-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
05-Dec-2018 - 00:00,16.23,991.7,199.02,360.81,70.73,103.68,267.51,0.51,,6.61,55.15,,48.86,55.08,87.78,71.79,2.33,21.53,10.72,06-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
06-Dec-2018 - 00:00,16.2,991.12,206.69,379.5,69.45,98.13,237.29,0.66,,7.5,104.33,,46.0,58.4,93.6,76.53,2.11,22.8,11.45,07-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
07-Dec-2018 - 00:00,15.72,991.8,179.52,314.85,70.05,102.27,304.52,0.77,,5.54,72.57,,44.84,44.44,38.81,18.63,1.82,22.62,9.44,08-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
08-Dec-2018 - 00:00,15.13,992.79,208.14,377.41,72.39,101.67,217.8,0.48,,6.96,154.55,,42.42,53.06,88.67,74.15,2.21,25.56,12.41,09-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
09-Dec-2018 - 00:00,15.32,991.74,245.84,437.19,68.84,98.1,188.77,0.54,,7.01,156.98,,47.85,60.89,98.39,80.77,2.39,27.57,15.4,10-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
10-Dec-2018 - 00:00,16.52,991.46,278.66,478.23,64.6,75.01,107.49,0.96,,7.38,84.17,,51.26,82.42,80.69,45.29,2.25,17.24,13.01,11-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
11-Dec-2018 - 00:00,15.77,992.47,283.27,489.55,72.19,68.05,102.11,0.73,,7.49,106.84,,51.68,71.0,112.17,91.26,2.3,18.41,10.99,12-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
12-Dec-2018 - 00:00,16.16,993.93,211.74,347.17,73.23,58.47,104.89,1.18,,5.11,121.76,,47.59,49.87,40.34,16.91,1.75,10.91,10.95,13-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
13-Dec-2018 - 00:00,15.53,996.76,84.55,160.48,74.32,99.77,246.89,1.04,,2.63,141.32,,42.94,29.47,24.03,10.24,1.32,19.31,10.26,14-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
14-Dec-2018 - 00:00,14.27,998.69,111.38,185.35,78.59,115.71,309.0,0.86,,3.16,27.42,,38.86,28.8,24.36,11.07,1.39,21.23,8.31,15-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
15-Dec-2018 - 00:00,14.4,998.19,114.75,199.61,72.79,124.07,314.79,1.04,,3.08,50.33,,38.25,28.08,19.51,5.73,1.25,24.63,9.83,16-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
16-Dec-2018 - 00:00,13.66,998.49,157.88,251.53,71.68,143.17,291.06,0.78,,3.97,59.19,,46.3,33.43,26.25,10.36,1.09,27.44,8.83,17-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
17-Dec-2018 - 00:00,13.54,997.07,173.97,298.57,64.95,123.68,299.85,0.83,,5.43,98.0,,69.3,45.81,42.06,21.76,1.27,28.31,9.8,18-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
18-Dec-2018 - 00:00,12.89,995.35,216.52,317.7,66.3,134.11,309.53,0.79,,4.41,23.06,,54.78,49.14,36.05,13.03,1.35,11.35,10.87,19-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
19-Dec-2018 - 00:00,12.84,994.48,234.28,364.31,70.65,129.91,288.54,0.6,,5.87,56.53,,49.89,55.69,64.64,43.06,1.68,8.25,9.5,20-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
20-Dec-2018 - 00:00,12.36,994.84,273.71,406.08,70.52,127.93,285.87,0.63,,6.93,107.19,,68.57,51.32,62.93,45.71,1.61,29.17,9.46,21-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
21-Dec-2018 - 00:00,12.04,993.66,277.05,395.83,73.74,124.67,306.25,0.68,,6.26,42.86,,71.09,46.22,47.62,28.22,1.64,30.67,6.78,22-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
22-Dec-2018 - 00:00,11.77,994.18,344.36,523.19,75.22,108.2,182.97,0.5,,6.93,84.91,,68.2,58.49,99.93,84.38,1.98,3.66,8.61,23-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
23-Dec-2018 - 00:00,12.05,995.0,376.65,590.91,77.06,96.56,108.89,0.65,,7.73,132.66,,69.33,66.26,146.2,136.16,2.33,9.2,7.25,24-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
24-Dec-2018 - 00:00,12.21,994.07,327.88,508.96,74.68,99.28,266.88,0.68,,8.35,161.36,,69.02,58.98,98.81,82.75,2.11,9.24,9.13,25-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
25-Dec-2018 - 00:00,11.27,993.35,238.04,346.88,79.13,105.64,309.27,0.75,,5.6,17.1,,65.55,31.41,25.52,10.88,1.38,11.74,4.41,26-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
26-Dec-2018 - 00:00,10.73,991.93,258.04,385.83,76.24,115.42,256.58,0.56,,7.23,57.9,,52.89,35.91,67.68,59.67,2.2,30.36,6.14,27-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
27-Dec-2018 - 00:00,12.24,993.24,298.25,463.76,64.72,99.36,218.34,0.89,,8.71,145.85,,55.82,55.12,89.88,74.43,1.88,20.12,10.8,28-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
28-Dec-2018 - 00:00,10.45,993.51,236.0,358.79,76.52,102.86,311.33,0.9,,4.37,23.73,,58.57,35.92,32.06,15.9,1.38,15.93,6.55,29-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
29-Dec-2018 - 00:00,10.73,995.64,250.35,373.92,73.84,121.31,284.56,0.63,,4.97,27.45,,52.63,40.36,62.61,50.64,1.63,21.19,8.04,30-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
30-Dec-2018 - 00:00,11.63,997.8,306.69,483.35,70.38,111.89,251.39,0.49,,7.12,79.01,,55.58,53.55,97.56,84.7,2.0,20.94,14.67,31-Dec-2018 - 00:00,"Narela, Delhi - DPCC"
31-Dec-2018 - 00:00,7.85,998.05,406.0,672.0,87.8,1.25,312.9,0.3,,9.4,369.55,,62.45,68.9,,126.8,3.2,0.65,2.1,01-Jan-2019 - 00:00,"Narela, Delhi - DPCC"
