from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
21-Apr-2018 - 00:00,2.33,6.36,4.98,30.79,3.36,997.58,27.11,63.01,0.01,68.45,218.76,31.92,-0.18,199.67,3.27,0.25,3.97,1.84,9.79,11.62,27.54,1.65,22-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Apr-2018 - 00:00,2.96,6.71,5.48,33.3,3.64,999.17,34.71,62.4,0.0,68.08,171.26,31.82,-0.11,192.76,2.8,0.37,3.55,1.42,10.14,11.54,29.15,1.71,23-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Apr-2018 - 00:00,4.11,7.28,5.42,29.11,3.52,,32.76,76.85,0.02,64.48,209.5,32.69,-0.07,210.84,2.35,0.47,3.26,1.93,10.43,12.32,38.31,2.37,24-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Apr-2018 - 00:00,4.74,9.28,6.76,33.34,4.17,999.55,46.3,103.87,0.0,53.42,227.89,32.77,-0.07,226.47,2.3,0.59,3.37,2.17,13.33,15.45,64.42,2.43,25-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Apr-2018 - 00:00,3.09,5.55,4.56,27.42,3.05,998.23,39.34,86.53,0.0,64.27,219.63,32.6,-0.14,201.08,2.85,0.41,7.11,1.49,10.91,12.36,52.02,2.4,26-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Apr-2018 - 00:00,2.78,6.67,4.63,27.16,2.87,999.64,29.13,75.85,0.36,56.68,211.29,30.6,-0.15,187.68,3.72,0.24,8.69,1.19,9.39,10.51,64.22,1.94,27-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Apr-2018 - 00:00,3.46,7.06,5.35,26.39,3.06,,33.62,66.93,0.03,49.62,226.04,30.3,-0.06,178.28,2.49,0.34,9.63,2.32,12.37,14.64,75.1,1.96,28-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Apr-2018 - 00:00,4.47,7.79,6.51,36.22,4.04,,38.8,85.76,0.0,52.36,181.28,30.01,-0.06,188.17,2.29,0.49,9.46,1.97,13.69,15.64,65.45,3.4,29-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Apr-2018 - 00:00,2.62,6.96,5.59,35.29,3.77,998.06,33.04,66.84,0.0,62.17,231.65,31.92,-0.08,187.04,3.11,0.43,8.07,2.25,9.01,11.24,51.16,1.45,30-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Apr-2018 - 00:00,5.31,7.01,6.04,31.9,4.25,998.67,20.2,51.41,0.07,69.69,172.07,28.74,-0.12,153.66,3.26,0.44,7.45,1.45,9.7,11.1,49.44,0.76,01-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-May-2018 - 00:00,5.12,7.51,6.21,36.77,4.06,999.89,33.27,58.93,0.0,66.11,216.2,29.34,-0.1,199.13,2.61,0.45,7.51,1.94,9.77,11.69,55.59,1.18,02-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-May-2018 - 00:00,3.07,5.62,4.72,25.55,3.09,,24.17,53.8,0.0,59.39,207.6,30.26,-0.07,187.49,2.72,0.32,6.47,1.41,10.27,11.66,65.89,1.54,03-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-May-2018 - 00:00,4.83,8.17,6.48,28.02,4.47,,36.3,69.48,0.0,59.28,227.63,29.91,-0.06,212.59,2.29,0.39,13.18,1.6,8.96,10.45,62.64,1.86,04-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-May-2018 - 00:00,3.22,7.53,6.2,34.58,3.99,,34.83,69.99,0.0,65.68,209.56,31.06,-0.04,216.17,2.7,0.48,18.0,1.99,6.84,8.78,43.92,2.21,05-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-May-2018 - 00:00,3.14,6.93,5.97,28.32,4.39,999.38,27.08,69.35,0.0,66.88,230.09,32.3,-0.08,208.68,3.13,0.49,15.2,1.89,5.45,7.27,32.48,1.74,06-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-May-2018 - 00:00,2.01,5.77,4.62,29.94,3.2,999.2,26.53,69.95,0.0,67.13,211.73,32.52,-0.07,203.39,3.21,0.4,15.99,3.52,4.49,7.98,20.0,1.98,07-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-May-2018 - 00:00,2.33,5.43,4.43,28.43,3.04,997.02,26.49,63.7,0.0,70.05,178.41,32.53,-0.06,202.81,3.14,0.27,11.18,2.87,3.29,6.13,20.48,1.76,08-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-May-2018 - 00:00,4.21,6.65,5.74,26.51,4.33,996.35,25.84,87.86,0.0,65.96,221.61,33.01,-0.09,193.73,3.27,0.26,9.99,1.89,4.71,6.55,27.92,1.38,09-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-May-2018 - 00:00,2.77,5.59,4.42,29.7,2.99,997.82,31.44,78.99,0.0,66.22,203.96,33.91,-0.06,209.41,3.03,0.27,13.14,1.64,2.45,4.01,28.03,1.43,10-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-May-2018 - 00:00,5.07,9.83,7.01,29.56,4.47,,35.01,68.19,0.0,64.56,172.08,32.4,-0.08,164.24,3.04,0.5,10.75,2.38,4.7,6.95,31.71,1.75,11-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-May-2018 - 00:00,3.07,7.89,5.61,32.96,3.51,998.91,23.17,58.88,0.01,64.44,193.1,31.52,-0.06,207.1,2.81,0.5,13.72,1.94,4.2,6.07,40.6,1.4,12-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-May-2018 - 00:00,4.42,8.27,5.94,35.59,3.7,999.51,30.49,60.04,0.0,57.37,193.31,31.41,-0.05,175.21,2.76,0.46,13.35,1.31,5.88,7.1,57.88,1.33,13-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-May-2018 - 00:00,2.37,8.07,5.83,34.16,3.65,998.79,21.69,48.73,0.45,69.11,175.78,29.47,-0.08,180.42,2.82,0.22,11.09,2.19,4.4,6.57,34.64,1.34,14-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-May-2018 - 00:00,4.21,15.87,9.4,35.12,4.94,,39.41,61.43,0.0,62.58,211.1,29.34,-0.06,239.74,2.01,0.34,9.69,2.08,6.98,8.96,47.71,1.87,15-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-May-2018 - 00:00,6.87,17.26,12.23,31.92,6.75,998.51,46.41,95.53,0.0,64.98,221.1,31.32,-0.05,205.47,2.59,0.59,10.85,3.25,7.2,10.37,46.14,2.33,16-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-May-2018 - 00:00,4.03,7.07,5.72,29.04,3.45,997.28,33.32,63.16,0.07,71.68,109.95,28.16,-0.08,188.23,3.03,0.52,12.51,1.71,4.99,6.66,39.14,1.46,17-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-May-2018 - 00:00,4.72,6.64,5.9,27.08,4.04,997.54,41.66,79.03,0.0,63.02,171.01,30.19,-0.06,181.03,2.17,0.55,17.46,2.04,8.55,10.48,52.93,2.58,18-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-May-2018 - 00:00,2.75,5.23,4.63,25.17,2.96,996.0,28.81,65.29,0.26,70.99,165.74,30.44,-0.06,212.49,2.72,0.43,15.46,2.63,6.05,8.57,27.82,1.86,19-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-May-2018 - 00:00,4.59,6.92,5.81,33.6,3.74,996.22,47.51,76.95,0.0,62.51,216.56,31.76,-0.04,218.58,2.21,0.47,16.31,2.04,8.28,10.2,56.04,2.74,20-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-May-2018 - 00:00,2.9,6.6,5.51,33.21,3.64,996.96,36.68,83.62,0.0,70.36,142.99,32.34,-0.05,198.3,2.78,0.35,13.68,2.29,5.58,7.79,20.14,2.84,21-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-May-2018 - 00:00,3.03,6.82,5.52,31.37,3.55,997.21,41.28,80.81,0.0,65.06,156.45,32.23,-0.04,213.95,2.62,0.43,10.92,2.14,6.83,8.89,39.63,2.56,22-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-May-2018 - 00:00,3.34,6.54,5.53,29.92,3.51,997.38,31.31,72.37,0.0,70.77,136.33,31.65,-0.06,197.3,3.05,0.41,10.29,2.24,5.44,7.61,22.46,1.64,23-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-May-2018 - 00:00,3.86,7.53,6.41,29.87,4.39,997.46,22.0,54.04,0.0,70.23,122.93,30.02,-0.06,196.87,2.86,0.41,10.9,1.89,5.82,7.65,35.49,2.01,24-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-May-2018 - 00:00,2.08,5.66,4.76,28.6,3.12,996.3,21.56,55.8,0.0,68.12,157.34,32.16,-0.07,198.49,3.25,0.29,11.07,4.21,4.53,8.73,15.66,1.72,25-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-May-2018 - 00:00,1.82,5.59,4.56,28.3,3.05,995.99,20.27,43.35,0.0,67.83,145.16,32.54,-0.06,205.8,3.22,0.22,11.05,7.25,4.71,11.95,13.0,2.57,26-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-May-2018 - 00:00,1.91,5.55,4.53,29.62,3.03,996.14,15.78,50.42,0.0,66.96,163.87,32.84,-0.07,206.05,3.23,0.24,10.26,4.47,3.03,7.47,22.32,1.76,27-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-May-2018 - 00:00,1.8,5.52,4.51,30.22,3.03,996.37,13.36,39.43,0.0,64.5,167.7,33.11,-0.07,201.84,3.07,0.32,8.72,4.6,2.56,7.15,21.32,1.44,28-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-May-2018 - 00:00,2.11,5.01,4.17,25.47,2.72,994.06,17.22,34.95,0.0,65.98,155.69,32.84,-0.07,201.21,2.9,0.35,6.88,4.4,3.33,7.73,20.1,1.82,29-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-May-2018 - 00:00,2.58,6.55,4.76,28.14,2.99,993.44,12.92,32.6,0.0,60.27,156.38,33.71,-0.06,182.03,2.89,0.37,9.56,4.14,2.86,6.98,26.25,1.7,30-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-May-2018 - 00:00,2.33,6.08,4.85,30.99,3.25,994.0,42.58,58.33,0.0,64.72,173.16,33.96,-0.06,198.1,3.02,0.28,11.06,3.01,3.38,6.38,33.5,1.73,31-May-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
31-May-2018 - 00:00,4.43,8.88,6.08,31.65,3.53,996.29,26.4,65.6,0.2,66.72,167.2,32.4,-0.07,195.43,2.77,0.33,9.25,2.93,7.06,9.19,42.89,1.48,01-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Jun-2018 - 00:00,4.96,10.76,7.17,32.8,4.01,998.47,24.12,44.34,0.69,80.33,84.65,28.82,-0.07,174.57,2.75,0.38,10.65,3.3,5.74,8.04,37.52,0.79,02-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jun-2018 - 00:00,5.47,6.6,5.78,29.33,3.47,997.67,30.12,54.61,0.0,71.99,203.02,30.65,-0.05,166.82,2.26,0.51,11.63,4.9,6.16,10.06,34.31,1.83,03-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jun-2018 - 00:00,2.66,6.18,5.14,31.14,3.26,994.55,32.04,59.46,0.0,66.91,206.69,33.01,-0.05,194.93,2.69,0.51,16.34,4.8,4.07,7.86,37.62,2.67,04-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jun-2018 - 00:00,4.66,8.86,6.29,26.04,3.41,994.41,37.48,69.07,0.0,69.03,153.84,32.49,-0.03,175.85,2.72,0.5,12.54,3.91,5.8,8.7,33.23,1.37,05-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jun-2018 - 00:00,4.18,11.51,7.03,29.96,3.81,996.71,27.67,56.5,0.0,67.61,206.41,32.74,-0.04,168.37,2.65,0.36,11.54,4.25,4.7,7.94,31.37,1.16,06-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jun-2018 - 00:00,4.08,7.64,5.96,29.91,3.64,997.02,32.24,54.2,0.52,72.56,113.93,31.72,-0.05,188.12,2.23,0.35,12.8,5.37,5.98,10.34,22.33,2.1,07-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Jun-2018 - 00:00,5.53,16.52,10.26,32.37,5.78,994.03,26.29,51.2,0.25,70.95,263.81,32.53,-0.04,187.63,2.18,0.47,20.05,10.98,6.82,16.78,15.36,2.0,08-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Jun-2018 - 00:00,6.62,18.5,10.46,33.88,5.06,991.06,23.38,54.01,0.02,70.37,303.36,32.77,-0.05,158.64,2.0,0.62,15.37,10.48,7.5,16.98,20.37,1.84,09-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Jun-2018 - 00:00,7.95,13.05,9.23,38.5,5.1,988.45,25.72,61.12,0.15,77.37,151.04,30.84,-0.04,207.47,1.91,0.73,14.38,9.0,8.08,16.08,20.4,2.2,10-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Jun-2018 - 00:00,5.94,8.71,7.57,39.26,4.63,986.79,30.99,56.36,0.12,75.22,446.5,31.05,-0.07,251.97,2.34,0.68,13.66,5.15,6.02,10.16,23.84,1.73,11-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Jun-2018 - 00:00,6.39,7.3,6.92,27.26,4.87,985.67,41.19,73.29,0.02,76.4,226.08,31.24,-0.04,247.03,2.21,0.6,12.93,3.09,4.5,6.59,39.3,1.85,12-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Jun-2018 - 00:00,3.27,5.27,4.56,27.41,3.0,986.22,29.88,50.16,0.08,77.17,225.24,30.3,-0.05,245.99,2.25,0.5,13.09,2.51,2.88,4.39,46.72,2.44,13-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Jun-2018 - 00:00,2.87,3.94,3.43,21.23,2.18,987.33,39.14,81.34,0.0,66.12,282.56,32.95,-0.04,240.79,2.75,0.49,17.38,2.31,3.04,4.31,63.49,2.15,14-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Jun-2018 - 00:00,3.86,5.56,5.03,23.78,3.6,988.83,45.51,117.09,0.0,60.75,273.57,34.31,-0.04,237.65,2.72,0.54,21.81,2.75,3.88,5.6,53.3,2.76,15-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Jun-2018 - 00:00,2.88,4.99,4.33,25.94,2.77,990.39,48.44,133.13,0.0,55.09,275.16,35.15,-0.05,235.59,2.62,0.57,22.88,2.69,3.95,5.61,63.49,2.92,16-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Jun-2018 - 00:00,3.19,4.78,4.15,26.22,2.61,991.84,50.86,154.33,0.0,58.25,261.86,35.94,-0.04,223.68,2.84,0.55,21.2,2.82,3.61,5.41,55.94,3.45,17-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Jun-2018 - 00:00,4.29,5.89,5.67,26.82,3.41,991.62,48.09,128.45,0.02,61.75,108.65,34.39,-0.05,175.7,2.18,0.5,16.5,3.3,8.91,11.04,39.66,3.51,18-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Jun-2018 - 00:00,5.32,6.68,6.18,23.21,3.87,990.78,53.39,137.22,0.0,52.0,246.95,37.12,-0.06,195.26,2.36,0.52,14.64,3.63,7.24,9.87,59.01,3.17,19-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Jun-2018 - 00:00,3.7,6.29,5.19,28.32,3.21,991.75,48.26,102.88,0.0,57.79,192.88,34.99,-0.05,218.28,2.43,0.49,15.73,2.74,5.75,7.49,54.59,3.47,20-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Jun-2018 - 00:00,4.29,8.03,6.12,29.31,3.6,994.13,27.36,69.81,0.02,71.1,94.37,31.39,-0.06,187.42,2.52,0.54,17.2,3.47,7.01,9.46,39.1,2.01,21-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Jun-2018 - 00:00,5.3,10.69,7.91,31.33,4.49,994.71,40.81,78.56,0.02,74.69,110.15,30.99,-0.04,181.6,2.46,0.61,17.1,5.62,9.53,14.16,22.04,1.78,22-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Jun-2018 - 00:00,3.26,6.32,5.1,24.95,3.09,994.02,32.04,61.09,0.0,69.05,147.11,32.65,-0.05,193.16,2.57,0.43,17.5,3.43,5.91,8.33,40.36,3.32,23-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Jun-2018 - 00:00,3.94,5.81,5.08,26.4,3.14,993.53,59.9,91.06,0.0,78.13,75.64,31.18,-0.06,196.51,2.64,0.45,15.49,3.55,5.93,8.47,25.35,3.05,24-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Jun-2018 - 00:00,3.07,5.7,4.99,26.09,3.11,993.0,33.54,59.63,0.02,80.71,57.25,29.57,-0.04,217.86,2.41,0.44,12.38,3.19,3.82,6.0,28.22,2.39,25-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Jun-2018 - 00:00,5.63,7.44,6.89,24.91,4.26,991.74,41.27,55.18,0.41,88.12,32.88,28.41,-0.04,206.77,2.26,0.63,10.82,3.84,8.48,11.32,19.56,1.99,26-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Jun-2018 - 00:00,4.93,8.39,6.55,28.18,3.69,992.15,39.83,56.43,0.91,83.83,67.23,28.49,-0.04,173.46,2.17,0.83,14.5,2.96,5.93,7.88,35.5,2.43,27-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Jun-2018 - 00:00,4.8,15.63,8.85,25.15,4.17,991.43,25.69,40.66,0.31,81.0,120.96,29.55,-0.05,157.66,2.94,0.58,15.33,3.5,5.59,8.08,22.34,1.23,28-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Jun-2018 - 00:00,2.41,12.45,7.21,26.5,3.58,995.29,20.81,54.13,0.03,74.3,185.8,30.56,-0.04,173.96,2.88,0.35,15.12,3.62,4.7,7.3,14.51,1.11,29-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Jun-2018 - 00:00,2.51,9.58,6.19,24.04,3.15,995.29,23.45,44.88,0.0,70.43,126.64,31.22,-0.04,187.92,2.69,0.35,13.78,3.55,5.25,7.79,24.71,3.7,30-Jun-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Jun-2018 - 00:00,2.24,6.17,4.84,28.66,2.97,994.74,29.0,67.78,0.0,70.76,108.82,32.07,-0.05,216.09,2.77,0.44,17.46,3.76,3.96,6.7,28.55,3.92,01-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Jul-2018 - 00:00,2.24,5.73,4.53,28.39,2.86,994.37,32.96,76.27,0.0,68.86,130.13,32.6,-0.04,209.46,2.99,0.49,12.93,3.09,3.54,5.63,39.6,5.34,02-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jul-2018 - 00:00,2.16,4.53,3.73,22.04,2.34,993.55,34.26,68.76,0.13,72.87,132.48,31.1,-0.05,220.57,2.73,0.49,9.88,2.82,3.45,5.25,41.87,2.86,03-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jul-2018 - 00:00,3.09,4.46,3.94,20.62,2.38,992.85,30.84,51.86,0.02,80.74,84.21,30.36,-0.03,210.43,2.53,0.5,12.43,3.67,5.45,8.1,24.12,2.65,04-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jul-2018 - 00:00,4.73,6.4,5.72,22.56,3.89,992.64,34.66,59.43,0.18,79.52,110.85,29.97,-0.05,232.69,2.41,0.49,12.85,3.96,4.98,7.94,21.28,2.49,05-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jul-2018 - 00:00,4.46,5.96,5.49,26.76,3.22,992.62,29.38,46.01,0.22,86.6,34.58,28.62,-0.03,226.53,2.15,0.55,12.97,4.44,4.9,8.33,14.2,2.34,06-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jul-2018 - 00:00,6.45,6.78,5.98,24.99,3.34,991.57,44.85,71.47,0.09,76.36,128.63,31.2,-0.04,200.86,1.94,0.7,14.99,5.19,8.52,12.71,18.84,4.76,07-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Jul-2018 - 00:00,4.96,12.19,7.8,29.21,3.91,990.58,18.4,41.92,0.0,70.73,150.16,31.9,-0.06,146.86,2.83,0.68,,,,,13.73,1.35,08-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Jul-2018 - 00:00,2.55,7.03,5.16,28.37,3.0,989.91,15.4,27.51,0.01,70.92,133.95,31.8,-0.07,151.57,3.22,0.61,,,,,23.14,0.81,09-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Jul-2018 - 00:00,6.37,9.42,6.96,29.55,3.64,991.02,18.07,33.75,0.26,80.11,88.46,30.59,-0.04,145.11,2.68,0.54,7.81,8.98,15.91,23.89,15.71,1.08,10-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Jul-2018 - 00:00,9.24,11.62,8.48,26.93,4.08,991.4,19.36,41.96,0.05,80.74,43.0,30.55,-0.03,153.98,2.66,0.49,8.46,4.92,9.23,13.16,14.29,1.22,11-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Jul-2018 - 00:00,4.61,15.22,8.94,28.49,4.17,990.28,29.73,43.95,0.0,73.12,144.77,31.92,-0.06,149.26,2.82,0.41,8.99,3.59,4.99,7.58,19.05,1.14,12-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Jul-2018 - 00:00,5.06,9.73,6.64,26.88,3.46,989.47,13.76,43.79,0.06,74.41,116.68,31.52,-0.04,156.22,2.82,0.57,10.04,3.41,5.13,7.53,17.61,1.88,13-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Jul-2018 - 00:00,5.15,14.06,8.02,26.35,3.9,989.78,11.17,39.64,0.16,74.75,154.9,31.41,-0.05,146.44,2.67,0.63,12.29,4.39,6.09,9.48,14.7,1.1,14-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Jul-2018 - 00:00,7.31,9.5,6.68,28.11,3.56,989.07,10.02,27.53,0.03,75.13,174.87,31.16,-0.1,128.0,2.92,0.59,11.49,5.17,5.33,9.49,10.18,0.91,15-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Jul-2018 - 00:00,3.62,6.16,4.96,27.37,3.01,988.03,7.37,19.66,0.03,74.18,130.16,31.43,-0.11,133.53,3.13,0.47,10.63,3.66,2.16,4.81,15.33,0.75,16-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Jul-2018 - 00:00,4.0,9.14,6.05,23.25,3.51,987.71,11.44,20.62,0.04,76.52,121.89,31.02,-0.1,141.52,3.18,0.4,9.85,3.36,3.44,5.78,16.19,0.77,17-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Jul-2018 - 00:00,8.19,8.44,6.31,25.11,3.18,990.01,11.32,37.21,0.08,78.39,113.33,30.59,-0.06,159.91,2.79,0.58,11.09,4.51,6.85,10.35,12.54,1.55,18-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Jul-2018 - 00:00,6.32,6.51,5.53,26.52,3.1,990.69,13.69,35.57,0.0,74.54,129.14,31.72,-0.07,158.57,2.69,0.59,10.87,4.6,5.84,9.44,12.37,1.18,19-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Jul-2018 - 00:00,4.14,10.03,6.68,26.05,3.45,989.82,17.1,44.81,0.0,65.46,142.2,34.02,-0.07,148.74,2.28,0.64,10.39,4.99,7.31,11.3,10.22,0.95,20-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Jul-2018 - 00:00,7.81,5.66,5.55,17.21,4.16,988.06,12.5,28.27,0.09,71.52,128.53,33.01,-0.1,163.75,2.67,0.47,14.61,3.47,3.75,6.2,14.63,0.77,21-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Jul-2018 - 00:00,6.02,4.75,4.37,24.11,2.71,986.62,11.1,17.59,0.16,82.31,33.33,29.96,-0.15,129.78,3.5,0.41,14.47,3.65,2.56,5.19,13.74,0.55,22-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Jul-2018 - 00:00,2.79,6.32,4.85,27.76,2.92,988.24,9.27,15.7,0.37,83.95,37.18,29.21,-0.09,173.8,3.3,0.38,11.51,3.23,1.8,3.97,15.21,1.04,23-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Jul-2018 - 00:00,2.46,5.38,4.76,25.11,2.89,991.97,21.38,40.2,0.44,82.1,48.34,30.09,-0.04,192.17,2.7,0.5,10.37,3.62,5.06,7.67,12.13,2.49,24-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Jul-2018 - 00:00,2.81,5.28,4.74,23.96,2.91,993.33,18.0,45.01,0.09,77.8,74.82,30.54,-0.04,196.65,2.66,0.6,9.82,4.16,5.93,9.09,13.25,4.19,25-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Jul-2018 - 00:00,7.66,11.38,9.02,20.59,6.08,993.21,49.24,52.82,0.16,84.12,61.84,29.75,-0.04,188.22,2.45,0.71,11.76,3.88,7.54,10.41,11.31,1.93,26-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Jul-2018 - 00:00,4.49,6.21,5.34,22.72,3.04,993.42,22.12,40.84,0.46,89.71,54.13,28.45,-0.03,212.42,2.14,0.67,10.8,5.76,5.69,10.44,7.82,1.4,27-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Jul-2018 - 00:00,4.08,9.46,6.36,30.61,3.69,992.52,26.37,43.69,0.13,82.82,57.71,29.49,-0.04,223.88,2.26,0.63,10.34,5.33,5.72,10.04,10.53,3.45,28-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Jul-2018 - 00:00,3.91,8.7,6.65,30.03,3.78,992.62,35.92,67.47,0.12,82.62,97.05,30.09,-0.04,219.32,1.99,0.69,9.81,5.18,6.54,10.71,14.01,2.77,29-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Jul-2018 - 00:00,4.87,7.34,6.46,26.87,3.72,992.04,42.86,73.05,0.02,82.38,97.67,30.44,-0.02,182.33,2.23,0.76,8.25,4.52,5.82,9.33,15.64,2.11,30-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Jul-2018 - 00:00,3.74,6.75,5.39,25.14,3.15,991.45,31.34,55.52,0.02,78.36,125.79,30.47,-0.03,249.58,2.14,0.75,7.52,3.12,3.9,6.01,20.0,2.98,31-Jul-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
