from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
17-Aug-2018 - 00:00,31.77,976.81,91.71,39.99,81.06,164.86,99.43,1.03,0.74,15.82,,30.31,29.21,39.43,29.3,8.81,0.79,41.76,18-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Aug-2018 - 00:00,31.0,976.36,77.0,35.15,82.34,112.61,118.82,0.87,0.8,13.33,,27.25,36.14,33.11,17.03,10.44,0.78,25.27,19-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Aug-2018 - 00:00,29.14,976.23,91.97,41.76,90.69,61.24,165.15,0.74,1.31,21.72,,31.81,49.77,54.63,34.61,10.6,1.13,30.73,20-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Aug-2018 - 00:00,30.98,977.73,121.94,47.9,82.81,107.45,125.27,0.81,1.22,17.24,,35.75,46.07,52.49,34.34,9.07,1.23,53.55,21-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Aug-2018 - 00:00,31.7,977.6,53.89,27.43,76.39,189.94,118.13,0.83,0.73,11.31,,27.97,34.16,28.82,13.03,10.93,0.71,24.69,22-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Aug-2018 - 00:00,31.1,977.03,68.91,27.68,82.18,154.12,142.2,0.87,0.68,12.83,,25.99,36.19,37.07,21.88,11.95,0.85,18.85,23-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Aug-2018 - 00:00,29.55,977.75,63.55,26.04,88.07,113.79,214.91,0.87,0.89,12.94,,27.03,31.09,24.0,9.14,10.13,0.62,11.94,24-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Aug-2018 - 00:00,30.29,977.01,78.46,21.97,81.42,96.52,229.23,0.96,0.54,9.16,,22.49,32.49,31.24,17.1,8.91,0.67,15.79,25-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Aug-2018 - 00:00,30.44,976.35,56.85,22.37,76.44,118.27,235.01,1.08,0.42,7.94,,19.81,26.94,20.03,7.01,9.15,0.48,19.3,26-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Aug-2018 - 00:00,30.8,976.05,67.98,27.95,73.72,166.48,168.54,1.04,0.5,6.95,,20.49,23.78,15.22,3.15,9.95,0.48,26.98,27-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Aug-2018 - 00:00,29.54,977.82,45.49,25.07,85.14,87.17,108.54,0.81,0.82,11.62,,18.65,39.46,36.69,19.24,12.36,0.92,36.92,28-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Aug-2018 - 00:00,28.61,978.86,53.61,24.73,92.69,84.43,120.5,0.85,0.53,15.65,,19.31,35.83,33.81,18.09,9.87,0.88,21.12,29-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Aug-2018 - 00:00,28.43,979.97,41.5,23.74,93.58,79.9,121.13,0.74,0.44,11.83,,22.63,35.98,36.9,21.77,9.26,0.85,10.97,30-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Aug-2018 - 00:00,30.72,977.74,83.68,38.55,83.67,168.75,215.71,0.68,0.56,14.65,,24.03,41.15,40.76,23.18,9.79,1.04,32.47,31-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Aug-2018 - 00:00,31.01,977.9,151.49,52.81,79.87,117.2,198.77,0.83,0.72,14.29,,25.41,37.85,30.45,12.66,9.34,0.78,20.93,01-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Sep-2018 - 00:00,27.82,980.1,109.39,44.28,93.47,40.01,169.33,0.67,1.81,23.94,,24.66,48.33,58.59,40.34,9.52,1.21,10.09,02-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Sep-2018 - 00:00,26.92,979.83,73.51,32.31,96.0,49.69,153.18,0.71,1.58,20.8,,25.13,32.58,42.66,31.07,9.28,0.92,22.63,03-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Sep-2018 - 00:00,26.57,980.11,70.46,32.0,97.79,36.65,101.47,0.58,1.79,18.53,,19.7,43.16,48.84,31.73,10.43,1.25,25.3,04-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Sep-2018 - 00:00,26.73,980.66,105.25,47.64,97.18,38.69,197.08,0.65,2.58,27.66,,22.3,64.72,80.02,55.94,9.99,1.79,20.46,05-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Sep-2018 - 00:00,27.82,979.92,91.66,43.53,90.23,105.71,231.54,0.69,1.27,13.17,,22.68,40.34,46.31,30.06,9.43,0.92,19.74,06-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Sep-2018 - 00:00,29.03,979.27,118.45,50.21,84.53,147.69,221.62,0.72,1.77,19.2,,21.64,36.49,53.07,41.31,8.45,1.03,30.45,07-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Sep-2018 - 00:00,28.02,981.15,84.6,36.41,90.33,115.86,140.71,0.72,2.24,24.13,,21.3,52.63,61.51,41.13,11.11,1.22,23.0,08-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Sep-2018 - 00:00,28.56,981.52,63.51,33.3,87.03,105.34,71.28,0.92,1.19,13.07,,22.87,32.0,29.81,15.62,11.72,0.68,28.31,09-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Sep-2018 - 00:00,28.43,982.85,32.84,20.89,83.32,133.01,128.03,1.26,0.52,6.82,,18.4,22.78,14.92,3.45,10.24,0.43,28.23,10-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Sep-2018 - 00:00,28.63,984.36,66.24,29.5,85.0,100.25,167.05,0.88,0.7,7.97,,16.58,33.82,23.66,6.88,11.45,0.62,15.95,11-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Sep-2018 - 00:00,29.95,983.58,58.96,26.32,81.11,135.7,232.86,0.9,0.77,8.38,,14.45,30.16,26.07,12.32,10.19,0.69,17.67,12-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Sep-2018 - 00:00,30.32,980.86,73.19,31.39,76.19,156.2,237.54,1.02,0.51,6.93,,13.75,28.18,21.21,7.64,10.72,0.51,11.95,13-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Sep-2018 - 00:00,30.08,980.73,95.86,29.29,70.21,153.99,233.87,1.14,0.46,5.77,,14.19,27.95,26.14,13.8,11.05,0.5,14.2,14-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Sep-2018 - 00:00,29.74,983.12,99.65,33.18,71.4,153.54,242.56,0.8,0.93,10.38,,14.2,33.22,39.56,26.84,10.74,0.7,19.22,15-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Sep-2018 - 00:00,29.92,984.83,105.43,38.29,67.67,160.28,239.58,0.76,1.49,16.98,,16.35,37.07,56.58,45.38,10.14,0.87,20.55,16-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Sep-2018 - 00:00,29.96,983.48,107.09,40.86,70.11,151.85,231.99,0.89,1.21,14.35,,22.66,36.18,37.94,22.95,10.1,0.67,19.0,17-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Sep-2018 - 00:00,30.19,982.42,143.56,52.98,71.28,140.44,262.46,0.86,1.29,13.78,,23.39,40.73,49.39,33.99,10.8,0.88,34.47,18-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Sep-2018 - 00:00,30.23,982.52,119.77,52.24,66.05,142.88,245.58,0.75,1.32,12.42,,21.41,38.8,28.13,9.2,11.4,0.66,44.59,19-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Sep-2018 - 00:00,29.75,982.39,143.71,57.81,68.48,149.98,251.49,0.63,1.58,18.57,,23.17,50.39,71.65,55.01,13.02,1.07,46.98,20-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Sep-2018 - 00:00,29.9,982.79,138.45,63.0,70.01,133.91,155.62,0.61,2.11,25.64,,25.58,66.58,88.24,64.49,15.01,1.33,49.66,21-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Sep-2018 - 00:00,28.71,985.41,82.14,34.3,75.87,129.71,109.25,1.18,1.34,10.05,,24.52,34.22,28.47,12.59,12.41,0.58,22.18,22-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Sep-2018 - 00:00,25.75,985.62,33.94,20.51,91.7,34.99,66.08,1.38,0.9,9.69,,18.46,27.12,18.28,4.72,10.73,0.49,19.15,23-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Sep-2018 - 00:00,27.0,985.29,31.39,22.78,89.77,66.56,98.11,1.43,0.72,7.63,,15.68,21.74,13.35,2.19,11.06,0.47,29.52,24-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Sep-2018 - 00:00,25.25,983.39,25.12,17.19,96.97,36.99,167.47,1.07,1.23,12.52,,14.56,29.05,23.15,9.45,10.39,0.59,12.41,25-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Sep-2018 - 00:00,24.08,984.76,37.61,20.46,95.18,37.44,250.32,0.68,2.62,23.89,,14.09,32.59,30.39,16.36,10.4,0.72,17.1,26-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Sep-2018 - 00:00,27.05,984.49,99.11,34.95,82.53,154.36,238.17,0.62,3.89,31.37,,15.19,40.62,64.76,52.92,10.65,1.17,35.54,27-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Sep-2018 - 00:00,27.88,985.22,122.21,75.41,81.41,145.67,211.89,0.51,7.22,64.7,,18.99,49.72,138.99,111.22,11.01,2.26,41.2,28-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Sep-2018 - 00:00,28.74,985.89,192.03,73.26,74.27,146.83,217.38,0.54,7.07,67.61,,24.03,69.99,167.74,166.4,11.8,2.99,36.61,29-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Sep-2018 - 00:00,29.23,986.53,208.14,72.1,70.45,142.5,239.3,0.78,6.59,66.65,,25.65,67.8,109.6,81.28,10.42,1.97,43.34,30-Sep-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Sep-2018 - 00:00,28.38,985.99,123.82,49.79,71.16,141.34,247.43,0.91,2.88,25.28,,23.52,53.7,76.64,59.04,11.95,1.14,40.59,01-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Oct-2018 - 00:00,28.42,985.74,117.72,64.58,70.93,134.69,231.98,0.69,4.18,40.82,,24.06,64.93,108.27,90.43,12.44,1.56,44.05,02-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Oct-2018 - 00:00,28.91,986.42,158.11,69.91,68.98,135.96,223.86,0.7,4.28,46.23,,26.53,51.94,77.16,61.06,11.47,1.22,47.23,03-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Oct-2018 - 00:00,29.04,985.82,160.5,58.52,60.52,135.42,197.02,0.56,3.44,34.35,,22.7,70.06,103.44,81.17,12.82,1.43,47.76,04-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Oct-2018 - 00:00,28.5,987.34,219.11,81.4,68.52,116.43,159.47,0.57,4.79,47.9,,30.09,76.97,135.79,95.74,16.36,1.88,30.38,05-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Oct-2018 - 00:00,28.04,988.43,260.95,92.97,70.4,114.66,136.72,0.76,7.23,70.02,,35.84,80.72,188.08,168.23,16.39,2.56,38.59,06-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Oct-2018 - 00:00,27.52,988.05,190.25,70.41,64.78,124.18,245.61,0.64,6.14,58.41,,28.67,66.47,125.65,107.51,12.43,1.7,39.25,07-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Oct-2018 - 00:00,27.17,987.5,220.22,85.33,64.77,120.71,213.75,0.55,5.82,50.73,,27.04,67.51,141.38,129.39,14.98,2.03,44.96,08-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Oct-2018 - 00:00,27.62,986.0,159.44,105.61,65.96,111.32,160.65,0.49,5.85,64.36,,28.37,84.06,152.97,132.64,16.63,2.48,42.37,09-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Oct-2018 - 00:00,27.9,985.04,202.51,93.11,65.04,114.26,124.55,0.63,4.63,42.12,,31.46,83.66,134.39,104.87,16.89,2.25,42.8,10-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Oct-2018 - 00:00,28.13,985.69,213.36,94.76,70.81,103.38,113.55,0.79,2.96,24.3,,34.23,66.31,72.55,45.79,12.42,1.52,30.0,11-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Oct-2018 - 00:00,25.86,987.55,179.72,76.19,67.33,93.57,114.97,1.04,2.04,20.71,,28.21,52.8,53.04,30.61,13.42,1.1,26.06,12-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Oct-2018 - 00:00,25.07,989.49,182.11,81.27,58.41,106.68,102.77,0.55,3.94,23.47,,21.18,62.61,88.81,68.1,15.43,1.35,41.48,13-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Oct-2018 - 00:00,24.44,989.68,218.66,108.46,64.79,106.03,245.62,0.64,7.63,77.29,,27.7,74.54,158.02,145.33,16.18,2.03,40.44,14-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Oct-2018 - 00:00,24.58,988.79,230.32,90.61,61.21,112.87,235.42,0.73,4.84,39.38,,24.89,68.65,99.63,77.41,13.2,1.57,41.88,15-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Oct-2018 - 00:00,25.36,989.14,297.93,120.4,63.14,121.63,187.56,0.63,6.89,55.32,,25.21,87.12,152.5,134.2,15.28,2.59,46.62,16-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Oct-2018 - 00:00,26.22,988.75,371.08,145.19,66.76,112.73,166.47,0.52,8.67,78.34,,32.03,98.48,245.33,230.45,15.52,3.46,41.13,17-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Oct-2018 - 00:00,26.45,987.33,375.48,127.88,62.51,140.04,178.22,0.5,6.25,60.03,,33.82,87.3,115.75,96.86,15.94,2.88,44.43,18-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Oct-2018 - 00:00,25.73,986.81,331.72,121.18,70.51,120.09,149.85,0.59,9.69,89.12,,34.39,91.73,163.94,139.34,13.49,3.96,38.43,19-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Oct-2018 - 00:00,25.44,988.41,310.23,134.92,61.88,111.65,166.03,0.54,5.69,39.32,,32.57,83.66,87.77,53.08,15.89,1.78,26.29,20-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Oct-2018 - 00:00,25.35,990.76,282.2,146.89,54.54,121.3,139.77,0.48,5.15,28.7,,27.84,76.5,93.29,64.61,18.19,1.76,51.22,21-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Oct-2018 - 00:00,24.07,991.39,329.15,148.62,56.98,108.19,168.51,0.68,5.6,41.37,,28.35,80.61,134.9,112.91,20.25,1.94,39.19,22-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Oct-2018 - 00:00,23.47,990.25,262.21,113.05,56.78,130.91,245.29,0.78,5.21,40.95,,26.43,77.09,110.09,84.7,14.16,1.77,38.55,23-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Oct-2018 - 00:00,23.86,989.99,287.56,101.69,54.01,134.11,216.15,0.63,6.17,47.12,,23.94,94.28,112.32,82.57,16.16,2.42,40.01,24-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Oct-2018 - 00:00,23.96,989.96,356.98,149.84,63.5,108.19,159.56,0.43,10.94,98.71,,30.95,114.06,251.61,169.82,22.67,3.7,32.37,25-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Oct-2018 - 00:00,23.47,991.35,403.74,173.94,67.9,110.76,127.38,0.54,11.76,101.12,,33.21,122.34,245.62,218.66,27.11,4.15,52.07,26-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Oct-2018 - 00:00,22.97,993.25,403.17,173.24,68.47,96.78,160.39,0.55,11.96,111.47,,33.57,112.31,183.74,164.73,18.58,4.41,37.67,27-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Oct-2018 - 00:00,22.8,993.46,390.51,181.34,73.39,86.58,173.49,0.58,14.59,120.32,,34.85,129.46,268.78,238.09,16.55,4.15,39.2,28-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Oct-2018 - 00:00,23.1,993.03,389.48,193.97,70.34,110.92,236.04,0.55,12.09,97.98,,32.4,87.14,188.86,169.34,16.34,3.35,53.59,29-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Oct-2018 - 00:00,23.08,992.26,420.36,215.85,71.32,98.31,227.64,0.48,10.6,89.35,,33.42,106.56,190.61,174.74,15.33,3.52,39.82,30-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Oct-2018 - 00:00,23.19,992.14,460.85,236.53,71.54,89.32,197.58,0.44,13.01,114.56,,38.08,119.79,204.34,172.63,18.43,4.42,41.72,31-Oct-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Oct-2018 - 00:00,22.83,992.66,455.7,214.3,76.79,87.27,169.96,0.43,11.57,110.37,,46.9,114.51,110.55,71.86,17.38,5.02,18.48,01-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Nov-2018 - 00:00,23.03,991.52,382.09,201.0,74.52,86.78,149.02,0.49,10.9,104.52,,48.45,107.6,233.24,193.43,15.58,4.25,25.59,02-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Nov-2018 - 00:00,23.44,990.01,376.31,203.16,71.19,84.98,110.95,0.49,7.89,71.99,,50.97,99.32,170.11,144.26,20.12,2.89,35.79,03-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Nov-2018 - 00:00,24.3,988.86,282.93,146.02,64.34,79.97,96.48,0.95,3.72,17.03,,47.19,57.49,43.72,16.09,15.47,1.4,42.41,04-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Nov-2018 - 00:00,23.33,990.38,175.1,94.71,58.07,100.88,174.07,0.95,2.18,12.45,,29.09,48.59,28.26,2.89,16.76,0.98,54.75,05-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Nov-2018 - 00:00,19.79,990.96,488.97,360.55,73.42,71.08,243.79,0.78,6.26,37.24,,44.66,79.02,72.16,36.68,13.89,2.14,29.52,06-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Nov-2018 - 00:00,21.08,991.26,292.49,165.06,46.1,109.66,258.35,0.94,4.06,21.75,,25.79,65.18,62.15,33.71,13.43,1.36,41.54,07-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Nov-2018 - 00:00,19.58,991.83,272.31,150.49,47.41,103.36,246.11,0.72,3.33,12.65,,24.12,63.85,71.05,45.47,14.47,1.44,50.09,08-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Nov-2018 - 00:00,18.2,992.03,593.91,454.13,69.63,67.99,197.41,0.37,8.93,46.27,,32.38,103.26,207.1,165.25,22.64,3.25,20.77,09-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Nov-2018 - 00:00,19.43,990.31,410.94,271.68,73.81,85.79,214.38,0.43,10.14,64.94,,40.69,114.81,226.92,200.27,15.21,3.87,38.09,10-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Nov-2018 - 00:00,19.38,991.17,407.64,257.98,79.56,65.47,177.56,0.44,10.04,88.13,,44.54,122.36,217.29,185.51,17.46,4.24,27.76,11-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Nov-2018 - 00:00,20.67,991.49,376.38,227.23,75.11,83.64,189.08,0.39,9.85,77.97,,41.99,113.42,236.44,216.49,14.49,4.5,40.12,12-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Nov-2018 - 00:00,20.96,989.54,432.59,251.74,77.61,76.19,143.28,0.42,11.51,87.65,,46.72,122.19,201.45,173.61,14.99,4.81,30.15,13-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Nov-2018 - 00:00,21.21,987.36,402.85,239.1,78.23,52.29,137.71,0.53,10.22,88.5,,50.6,105.01,199.86,176.44,13.58,3.95,16.26,14-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Nov-2018 - 00:00,21.73,988.23,217.48,125.71,78.76,76.28,136.32,0.75,5.27,38.14,,47.3,76.81,112.45,87.37,12.29,2.15,25.28,15-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Nov-2018 - 00:00,21.21,991.53,183.53,100.52,74.98,80.32,186.74,0.74,4.12,35.5,,41.48,70.13,67.77,37.63,12.74,1.45,27.34,16-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Nov-2018 - 00:00,20.16,990.63,211.72,121.21,58.86,100.97,256.71,0.98,2.76,15.07,,28.56,65.22,45.63,13.41,12.98,1.13,38.54,17-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Nov-2018 - 00:00,19.01,989.14,252.27,130.27,66.9,90.13,241.57,0.67,4.13,29.68,,27.88,79.47,117.82,92.65,13.83,1.85,34.7,18-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Nov-2018 - 00:00,19.64,990.23,268.55,153.71,71.68,81.47,137.81,0.57,5.15,31.76,,33.19,89.42,173.77,154.5,13.75,2.48,38.78,19-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Nov-2018 - 00:00,21.07,992.5,315.56,180.65,67.63,63.01,110.28,0.76,3.54,17.28,,41.59,82.38,69.4,31.39,13.25,1.64,38.88,20-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Nov-2018 - 00:00,20.8,992.74,396.52,207.07,74.62,73.62,192.28,0.51,7.19,59.22,,43.78,103.3,176.58,149.14,16.16,3.11,40.39,21-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Nov-2018 - 00:00,19.67,993.02,357.69,199.81,68.24,78.29,234.97,0.73,5.77,45.64,,35.29,81.71,129.47,106.84,13.56,2.2,36.43,22-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Nov-2018 - 00:00,19.51,993.7,263.07,111.99,60.43,68.84,212.42,0.45,5.07,41.85,,26.27,108.17,172.88,133.5,16.77,2.53,22.97,23-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Nov-2018 - 00:00,19.69,995.09,314.16,157.23,59.52,80.4,242.36,0.82,9.02,82.49,,31.17,82.64,130.93,99.26,14.35,2.51,29.75,24-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Nov-2018 - 00:00,19.59,993.46,229.73,90.69,54.3,83.83,249.25,0.81,3.46,22.89,,26.06,62.27,77.18,54.07,14.54,1.44,32.79,25-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Nov-2018 - 00:00,18.51,993.24,270.67,112.03,65.72,78.6,239.45,0.62,4.94,36.2,,27.91,83.0,160.71,142.96,15.81,2.12,32.45,26-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Nov-2018 - 00:00,18.51,992.42,379.46,186.47,75.69,72.96,220.11,0.45,11.65,91.18,,36.52,104.88,191.86,177.68,19.08,3.9,33.29,27-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Nov-2018 - 00:00,19.13,994.18,355.32,178.79,76.53,64.64,173.38,0.5,11.82,90.62,,35.74,110.69,215.35,164.17,14.66,5.07,4.08,28-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Nov-2018 - 00:00,19.6,995.03,394.45,187.07,80.69,61.22,182.26,0.4,10.97,84.61,,38.77,110.38,187.19,90.14,15.73,4.9,2.28,29-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Nov-2018 - 00:00,18.82,995.23,368.24,181.73,79.29,61.58,243.77,0.6,11.37,100.22,,33.02,94.2,208.78,178.4,10.82,3.27,5.22,30-Nov-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Nov-2018 - 00:00,18.29,994.67,372.89,176.82,75.07,66.55,242.62,0.75,,,,30.14,74.87,103.24,77.81,12.74,2.56,19.43,01-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Dec-2018 - 00:00,17.76,992.0,307.3,132.91,70.03,68.37,241.77,0.63,6.41,45.7,,25.45,92.63,188.87,172.27,14.77,2.41,28.78,02-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Dec-2018 - 00:00,17.19,991.22,316.27,125.74,71.51,66.55,204.48,0.45,9.1,74.59,,28.51,101.25,267.41,218.11,13.94,3.52,29.41,03-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Dec-2018 - 00:00,16.92,992.19,350.32,141.19,72.23,60.76,215.11,0.51,9.32,91.22,,30.34,99.06,215.06,165.96,13.64,3.53,32.62,04-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
